@relation Glass-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute Si numeric
@attribute K numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute Fe numeric
@attribute Type {'build wind float','build wind non-float','vehic wind float','vehic wind non-float',containers,tableware,headlamps}

@data
0.330992,0.369925,0.750557,0.277259,0.519643,0.211111,0.315985,0,0.432432,'build wind float'
0.27568,0.386466,0.801782,0.264798,0.585714,0.214815,0.254647,0,0,'build wind float'
0.29324,0.294737,0.788419,0.327103,0.560714,0.211111,0.30855,0,0,'build wind float'
0.424056,0.458647,0.507795,0.35514,0.389286,0.181481,0.410781,0,0.459459,'build wind non-float'
0.265584,0.398496,0.77951,0.267913,0.542857,0.185185,0.27881,0,0,'build wind float'
0.280509,0.413534,0.832962,0.274143,0.567857,0.218519,0.241636,0,0,'build wind float'
0.261633,0.324812,0.806236,0.398754,0.5625,0.225926,0.249071,0,0,'build wind non-float'
0.431958,0.445113,0.799555,0.258567,0.383929,0.033333,0.368959,0,0,'build wind float'
0.21115,0.309774,0.804009,0.41433,0.564286,0.237037,0.245353,0,0.702703,'build wind non-float'
0.293679,0.353383,0.777283,0.308411,0.544643,0.222222,0.284387,0,0,'build wind float'
0.217296,0.390977,0.786192,0.327103,0.510714,0.207407,0.269517,0,0,'vehic wind float'
0.245391,0.321805,0.792873,0.420561,0.594643,0.240741,0.237918,0,0,'build wind non-float'
0.323529,0.505263,0.487751,0.426791,0.510714,0,0.361524,0,0,tableware
0.679982,0.075188,0,0.149533,0.607143,0,0.859665,0,0,'build wind non-float'
0.351624,0.514286,0,0.560748,0.523214,0,0.506506,0,0,tableware
0.28446,0.311278,0.815145,0.305296,0.571429,0.222222,0.290892,0,0,'build wind float'
0.240123,0.318797,0.781737,0.358255,0.571429,0.251852,0.260223,0.019048,0.675676,'build wind non-float'
0.235294,0.548872,0,0.514019,0.678571,0,0.283457,0.498413,0,headlamps
0.215101,0.326316,0.766147,0.361371,0.580357,0.162963,0.263941,0,0,'build wind non-float'
0.346795,0.491729,0.532294,0.395639,0.457143,0,0.384758,0,0,tableware
