@relation blood-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R5-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R5-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute 'Recency (months)' numeric
@attribute 'Frequency (times)' numeric
@attribute 'Monetary (c.c. blood)' numeric
@attribute 'Time (months)' numeric
@attribute NewNumeric0 numeric
@attribute 'whether he/she donated blood in March 2007' {0,1}

@data
0.283784,0.081633,0.081633,0.604167,0.999371,0
0.054054,0,0,0.020833,0.470503,0
0.175676,0.142857,0.142857,0.25,0.623781,0
0.283784,0.040816,0.040816,0.645833,0.289988,0
0.189189,0.081633,0.081633,0.125,0.016529,0
0.054054,0.040816,0.040816,0.71875,0.789791,0
0.054054,0.020408,0.020408,0.40625,0.550039,0
0.027027,0.102041,0.102041,0.270833,0.440003,1
0.216216,0,0,0.145833,0.997537,0
0.054054,0.020408,0.020408,0.510417,0.515613,1
0.054054,0.061224,0.061224,0.40625,0.804022,0
0.148649,0.163265,0.163265,0.322917,0.245068,0
0.162162,0.285714,0.285714,0.71875,0.435336,0
0.027027,0,0,0,0.834843,0
0.027027,0.857143,0.857143,0.875,0.757612,1
0.027027,0,0,0,0.618181,0
0.310811,0,0,0.21875,0.310307,0
0.027027,0,0,0,0.389309,0
0.216216,0.061224,0.061224,0.583333,0.326032,0
0.027027,0.061224,0.061224,0.34375,0.115234,0
0.054054,0.020408,0.020408,0.28125,0.978719,0
0.040541,0,0,0.010417,0.920622,1
0.310811,0.367347,0.367347,0.625,0.87131,0
0.054054,0,0,0.020833,0.600235,0
0.054054,0.020408,0.020408,0.302083,0.420717,0
0.148649,0,0,0.09375,0.089063,0
0.027027,0.020408,0.020408,0,0.980369,0
0.216216,0.122449,0.122449,0.885417,0.80195,1
0.121622,0.081633,0.081633,0.510417,0.131199,1
0.027027,0.020408,0.020408,0.083333,0.60951,0
0.027027,0,0,0,0.14574,0
0.283784,0,0,0.197917,0.340978,0
0.310811,0,0,0.21875,0.715273,0
0.216216,0.020408,0.020408,0.25,0.071009,0
0.513514,0,0,0.375,0.358313,0
0.148649,0.061224,0.061224,0.75,0.358028,0
0.148649,0.020408,0.020408,0.09375,0.684523,0
0.054054,0.142857,0.142857,0.479167,0.936478,1
0.027027,0.183673,0.183673,0.270833,0.759266,1
0.027027,0.102041,0.102041,0.135417,0.832177,1
0.027027,0,0,0,0.04117,0
0.054054,0,0,0.020833,0.255172,0
0.216216,0.142857,0.142857,0.270833,0.792229,0
0.310811,0.040816,0.040816,0.385417,0.042127,0
0.216216,0,0,0.145833,0.984248,0
0.054054,0.040816,0.040816,0.333333,0.562908,0
0.081081,0.040816,0.040816,0.125,0.746957,0
0.283784,0,0,0.197917,0.394028,0
0.216216,0.020408,0.020408,0.260417,0.475256,0
0.148649,0.020408,0.020408,0.229167,0.2937,0
0.054054,0,0,0.020833,0.192224,0
0.067568,0.122449,0.122449,0.25,0.016139,1
0.027027,0.204082,0.204082,0.25,0.460327,0
0.054054,0.265306,0.265306,0.875,0.781309,0
0.027027,0.22449,0.22449,0.46875,0.55834,1
0.310811,0.020408,0.020408,0.25,0.103651,0
