@relation Glass-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute Si numeric
@attribute K numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute Fe numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute Type {'build wind float','build wind non-float','vehic wind float','vehic wind non-float',containers,tableware,headlamps}

@data
0.330992,0.369925,0.750557,0.277259,0.519643,0.211111,0.315985,0,0.432432,0.564506,0.966885,'build wind float'
0.27568,0.386466,0.801782,0.264798,0.585714,0.214815,0.254647,0,0,0.809707,0.685285,'build wind float'
0.29324,0.294737,0.788419,0.327103,0.560714,0.211111,0.30855,0,0,0.332671,0.285325,'build wind float'
0.424056,0.458647,0.507795,0.35514,0.389286,0.181481,0.410781,0,0.459459,0.422266,0.659856,'build wind non-float'
0.265584,0.398496,0.77951,0.267913,0.542857,0.185185,0.27881,0,0,0.806998,0.579066,'build wind float'
0.280509,0.413534,0.832962,0.274143,0.567857,0.218519,0.241636,0,0,0.202077,0.388781,'build wind float'
0.261633,0.324812,0.806236,0.398754,0.5625,0.225926,0.249071,0,0,0.685386,0.436767,'build wind non-float'
0.431958,0.445113,0.799555,0.258567,0.383929,0.033333,0.368959,0,0,0.897426,0.991182,'build wind float'
0.21115,0.309774,0.804009,0.41433,0.564286,0.237037,0.245353,0,0.702703,0.67752,0.029843,'build wind float'
0.293679,0.353383,0.777283,0.308411,0.544643,0.222222,0.284387,0,0,0.704942,0.13449,'build wind float'
0.217296,0.390977,0.786192,0.327103,0.510714,0.207407,0.269517,0,0,0.10782,0.474056,'vehic wind float'
0.245391,0.321805,0.792873,0.420561,0.594643,0.240741,0.237918,0,0,0.261393,0.361675,'build wind non-float'
0.323529,0.505263,0.487751,0.426791,0.510714,0,0.361524,0,0,0.125424,0.431124,tableware
0.679982,0.075188,0,0.149533,0.607143,0,0.859665,0,0,0.301188,0.112523,'build wind non-float'
0.351624,0.514286,0,0.560748,0.523214,0,0.506506,0,0,0.432707,0.760046,tableware
0.28446,0.311278,0.815145,0.305296,0.571429,0.222222,0.290892,0,0,0.873983,0.665207,'build wind float'
0.240123,0.318797,0.781737,0.358255,0.571429,0.251852,0.260223,0.019048,0.675676,0.511252,0.899952,'build wind non-float'
0.235294,0.548872,0,0.514019,0.678571,0,0.283457,0.498413,0,0.912375,0.799564,headlamps
0.215101,0.326316,0.766147,0.361371,0.580357,0.162963,0.263941,0,0,0.297832,0.194582,'build wind non-float'
0.346795,0.491729,0.532294,0.395639,0.457143,0,0.384758,0,0,0.241364,0.714946,tableware
0.19842,0.384962,0.768374,0.286604,0.523214,0.207407,0.291822,0,0,0.142816,0.553082,'build wind float'
0.417032,0.545865,0,0.538941,0.644643,0,0.27974,0.520635,0,0.829308,0.623202,headlamps
0.341089,0.410526,0.853007,0.302181,0.489286,0.211111,0.258364,0,0.378378,0.669566,0.682619,'build wind non-float'
0.275241,0.381955,0.806236,0.29595,0.583929,0.203704,0.245353,0,0,0.194341,0.481322,'build wind float'
1,0.23609,0,0.221184,0.0625,0.044444,1,0,0.648649,0.845771,0.625394,'build wind non-float'
0.269974,0.243609,0.605791,0.417445,0.546429,0.259259,0.35316,0,0,0.400725,0.52841,'build wind non-float'
0.481124,0.520301,0.841871,0.193146,0.276786,0.085185,0.344796,0,1,0.176288,0.485938,'vehic wind float'
0,1,0,0.015576,1,0,0.113383,0,0,0.00639,0.648172,tableware
0.293679,0.293233,0.817372,0.271028,0.589286,0.225926,0.303903,0,0,0.431951,0.044173,'build wind float'
