@relation planning-weka.filters.unsupervised.attribute.NumericToNominal-R13-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute '  Delta' numeric
@attribute ' Theta' numeric
@attribute ' Alpha' numeric
@attribute ' Beta' numeric
@attribute ' Gamma' numeric
@attribute ' C3' numeric
@attribute ' C4' numeric
@attribute ' P3' numeric
@attribute ' P4' numeric
@attribute ' F3' numeric
@attribute ' F4' numeric
@attribute ' T3' numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute ' T4' {1,2}

@data
0.464536,0.757135,0.680691,0.730497,0.382904,0.797602,0.53547,0.144544,0.661502,0.795583,0.209994,0.701894,0.786859,0.890994,1
0.583751,0.484399,0.687105,0.653549,0.63359,0.49946,0.556994,0.604522,0.457262,0.388038,0.634735,0.537004,0.1819,0.315033,2
0.799516,0.438092,0.66649,0.660226,0.581152,0.489218,0.65532,0.751631,0.588895,0.362694,0.64437,0.404321,0.052088,0.092289,1
0.907945,0.652721,0.48489,0.558768,0.335255,0.621699,0.918963,0.442484,0.73669,0.668924,0.325754,0.480283,0.097548,0.055881,1
0.762091,0.655898,0.691338,0.551701,0.597093,0.601312,0.851875,0.147238,0.606642,0.70127,0.31084,0.646481,0.307895,0.583628,1
0.852883,0.469405,0.400413,0.578993,0.356524,0.486554,0.694236,0.998868,0.728533,0.498648,0.505533,0.405184,0.479799,0.353318,1
0.76936,0.441513,0.528649,0.510645,0.568176,0.404187,0.751905,0.689899,0.619868,0.33891,0.671797,0.303544,0.497843,0.918918,1
0.523423,0.417752,0.357426,0.543486,0.318193,0.499197,0.386552,0.670854,0.356532,0.478006,0.572391,0.73538,0.526823,0.184511,1
0.677154,0.46332,0.174109,0.289731,0.306435,0.406797,0.665783,0.524773,0.573541,0.261989,0.746719,0.300201,0.410463,0.077192,1
1,0.538498,0.395494,0.546829,0.356062,0.506737,0.925194,0.501219,0.489262,0.048056,0.958598,0.198575,0.195729,0.046484,1
0.769525,0.582278,0.165025,0.316627,0.092511,0.597004,0.692644,0.478139,0.883043,0.907152,0.122437,0.458719,0.738036,0.497746,1
0.862311,0.47877,0.445074,0.51941,0.337031,0.538038,0.733708,0.514237,0.751741,0.772459,0.236322,0.538689,0.428396,0.530523,2
0.434683,0.61645,0.71222,0.634251,0.499775,0.706662,0.390034,0.270187,0.769976,0.589633,0.40954,0.369456,0.809725,0.85773,1
0.575302,0.477291,0.965047,0.621814,0.917332,0.502362,0.570781,0.413614,0.847121,0.821257,0.186327,0.453783,0.010113,0.064171,1
0.500603,0.816375,0.726372,0.675372,0.417211,0.849308,0.534519,0.237191,0.7917,0.551723,0.446257,0.277434,0.762891,0.287438,2
0.988153,0.499546,0.026771,0.164786,0.140964,0.413054,0.942467,0.75214,0.683778,0.614236,0.400612,0.479165,0.256984,0.41301,1
0.706699,0.522868,0.311708,0.298045,0.374221,0.492465,0.740106,0.241169,0.545134,0.370791,0.602957,0.245152,0.069747,0.239006,1
0.627196,0.759669,0.831113,0.714288,0.539456,0.789281,0.617787,0.474781,0.342323,0.5297,0.515638,0.796208,0.084494,0.133058,2
0.76442,0.668377,0.524389,0.381717,0.477509,0.623031,0.731958,0.51825,0.788871,0.651885,0.38003,0.316618,0.146044,0.151019,1
0.622161,0.418954,0.71806,0.490374,0.756914,0.442168,0.513802,0.753311,0.634894,0.570868,0.459567,0.484419,0.522326,0.669483,1
0.817403,0.692967,0.655582,0.828481,0.38635,0.716344,0.694251,1,0.925289,0.841872,0.161278,0.411047,0.234341,0.38451,2
0.567198,0.499395,0.616637,0.559521,0.54112,0.537151,0.493621,0.590863,0.609589,0.370488,0.595591,0.221861,0.409484,0.208481,1
0.660917,0.572936,0.876281,0.825325,0.7215,0.595986,0.621524,0.450845,0.726124,0.374254,0.626763,0.188342,0.876461,0.645115,2
0.768922,0.411632,0.583952,0.098885,0.778746,0.343027,0.689891,0.858297,0.616528,0.362057,0.599967,0.232377,0.828935,0.706544,2
0.740753,0.498781,0.367425,0.421681,0.355335,0.515966,0.63314,0.572544,0.577578,0.422703,0.598645,0.42421,0.068058,0.251632,1
0.854498,0.560856,0.783806,0.819859,0.595519,0.598476,0.727088,0.776853,0.560806,0.380163,0.654291,0.408391,0.822461,0.744975,2
0.940275,0.667011,0.196486,0.162394,0.204428,0.581388,0.89771,0.729536,0.73882,0.493228,0.523978,0.264355,0.622786,0.163015,1
0.91507,0.742057,0.46124,0.651049,0.282278,0.67571,0.890049,0.918512,0.873101,0.835113,0.161756,0.470457,0.064107,0.987384,1
0.61504,0.420919,0.583425,0.544574,0.582947,0.459815,0.512252,0.656978,0.477609,0.348354,0.682489,0.475153,0.364397,0.633811,1
