@relation titanic-train-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute passengerId numeric
@attribute pclass=1 numeric
@attribute pclass=2 numeric
@attribute pclass=3 numeric
@attribute sex=female numeric
@attribute age numeric
@attribute sibsp numeric
@attribute parch numeric
@attribute fare numeric
@attribute embarked=C numeric
@attribute embarked=Q numeric
@attribute embarked=S numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute survival {0,1}

@data
0,0,0,1,0,0.271174,0.125,0,0.014151,0,0,1,0.607387,0.645474,0
0.001124,1,0,0,1,0.472229,0.125,0,0.139136,1,0,0,0.702219,0.761689,1
0.002247,0,0,1,1,0.321438,0,0,0.015469,0,0,1,0.967439,0.129223,1
0.003371,1,0,0,1,0.434531,0.125,0,0.103644,0,0,1,0.682958,0.389726,1
0.004494,0,0,1,0,0.434531,0,0,0.015713,0,0,1,0.158284,0.041321,0
0.005618,0,0,1,0,?,0,0,0.01651,0,1,0,0.472211,0.526202,0
0.006742,1,0,0,0,0.673285,0,0,0.101229,0,0,1,0.658895,0.450017,0
0.007865,0,0,1,0,0.019854,0.375,0.166667,0.041136,0,0,1,0.196515,0.424746,0
0.008989,0,0,1,1,0.334004,0,0.333333,0.021731,0,0,1,0.075921,0.75336,1
0.010112,0,1,0,1,0.170646,0.125,0,0.058694,1,0,0,0.023179,0.733028,1
0.011236,0,0,1,1,0.044986,0.125,0.166667,0.032596,0,0,1,0.048561,0.600395,1
0.01236,1,0,0,1,0.723549,0,0,0.051822,0,0,1,0.400015,0.387056,1
0.013483,0,0,1,0,0.246042,0,0,0.015713,0,0,1,0.044684,0.208551,0
0.014607,0,0,1,0,0.484795,0.125,0.833333,0.061045,0,0,1,0.898572,0.741724,0
0.01573,0,0,1,1,0.170646,0,0,0.01533,0,0,1,0.41143,0.022225,0
0.016854,0,1,0,1,0.685851,0,0,0.03123,0,0,1,0.608538,0.838148,1
0.017978,0,0,1,0,0.019854,0.5,0.166667,0.056848,0,1,0,0.938959,0.232716,0
0.019101,0,1,0,0,?,0,0,0.025374,0,0,1,0.004607,0.236664,1
0.020225,0,0,1,1,0.384267,0.125,0,0.035134,0,0,1,0.497813,0.411132,0
0.021348,0,0,1,1,?,0,0,0.014102,1,0,0,0.086985,0.028908,1
0.022472,0,1,0,0,0.434531,0,0,0.050749,0,0,1,0.018356,0.393582,0
0.023596,0,1,0,0,0.421965,0,0,0.025374,0,0,1,0.382842,0.483244,1
0.024719,0,0,1,1,0.183212,0,0,0.015672,0,1,0,0.195014,0.601919,1
0.025843,1,0,0,0,0.346569,0,0,0.069291,0,0,1,0.088421,0.274862,1
0.026966,0,0,1,1,0.09525,0.375,0.166667,0.041136,0,0,1,0.818538,0.183472,0
0.02809,0,0,1,1,0.472229,0.125,0.833333,0.061264,0,0,1,0.230107,0.405183,1
0.029213,0,0,1,0,?,0,0,0.014102,1,0,0,0.566276,0.709677,0
0.030337,1,0,0,0,0.233476,0.375,0.333333,0.513342,0,0,1,0.227684,0.724798,0
