@relation vote-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute handicapped-infants=y numeric
@attribute water-project-cost-sharing=y numeric
@attribute adoption-of-the-budget-resolution=y numeric
@attribute physician-fee-freeze=y numeric
@attribute el-salvador-aid=y numeric
@attribute religious-groups-in-schools=y numeric
@attribute anti-satellite-test-ban=y numeric
@attribute aid-to-nicaraguan-contras=y numeric
@attribute mx-missile=y numeric
@attribute immigration=y numeric
@attribute synfuels-corporation-cutback=y numeric
@attribute education-spending=y numeric
@attribute superfund-right-to-sue=y numeric
@attribute crime=y numeric
@attribute duty-free-exports=y numeric
@attribute export-administration-act-south-africa=y numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute Class {democrat,republican}

@data
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0.996287,0.747158,0.782294,democrat
0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0.05875,0.461304,0.343197,republican
1,0,1,0,0,0,1,1,?,1,1,1,0,1,0,1,0.416077,0.664904,0.752614,democrat
1,0,1,0,0,0,1,1,?,0,0,0,0,0,0,?,0.514081,0.422512,0.95643,democrat
0,0,1,0,0,1,1,1,1,1,1,0,0,0,?,1,0.401591,0.539144,0.360003,democrat
0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0.887357,0.908332,0.064693,democrat
1,?,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0.329511,0.376015,0.412061,republican
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.537624,0.078984,0.818642,republican
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.709863,0.712385,0.869908,democrat
0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0.116163,0.59665,0.724518,republican
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.333196,0.611748,0.236475,republican
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.188761,0.735839,0.484054,democrat
