@relation anneal-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute family=- numeric
@attribute family=GB numeric
@attribute family=GK numeric
@attribute family=GS numeric
@attribute family=TN numeric
@attribute family=ZA numeric
@attribute family=ZF numeric
@attribute family=ZH numeric
@attribute family=ZM numeric
@attribute family=ZS numeric
@attribute product-type=C numeric
@attribute product-type=H numeric
@attribute product-type=G numeric
@attribute steel=- numeric
@attribute steel=R numeric
@attribute steel=A numeric
@attribute steel=U numeric
@attribute steel=K numeric
@attribute steel=M numeric
@attribute steel=S numeric
@attribute steel=W numeric
@attribute steel=V numeric
@attribute carbon numeric
@attribute hardness numeric
@attribute temper_rolling=T numeric
@attribute condition=- numeric
@attribute condition=S numeric
@attribute condition=A numeric
@attribute condition=X numeric
@attribute formability=- numeric
@attribute formability=1 numeric
@attribute formability=2 numeric
@attribute formability=3 numeric
@attribute formability=4 numeric
@attribute formability=5 numeric
@attribute strength numeric
@attribute non-ageing=N numeric
@attribute surface-finish=- numeric
@attribute surface-finish=P numeric
@attribute surface-finish=M numeric
@attribute surface-quality=- numeric
@attribute surface-quality=D numeric
@attribute surface-quality=E numeric
@attribute surface-quality=F numeric
@attribute surface-quality=G numeric
@attribute enamelability=- numeric
@attribute enamelability=1 numeric
@attribute enamelability=2 numeric
@attribute enamelability=3 numeric
@attribute enamelability=4 numeric
@attribute enamelability=5 numeric
@attribute bc=Y numeric
@attribute bf=Y numeric
@attribute bt=Y numeric
@attribute bw/me=- numeric
@attribute bw/me=B numeric
@attribute bw/me=M numeric
@attribute bl=Y numeric
@attribute m=Y numeric
@attribute chrom=C numeric
@attribute phos=P numeric
@attribute cbond=Y numeric
@attribute marvi=Y numeric
@attribute exptl=Y numeric
@attribute ferro=Y numeric
@attribute corr=Y numeric
@attribute blue/bright/varn/clean=- numeric
@attribute blue/bright/varn/clean=B numeric
@attribute blue/bright/varn/clean=R numeric
@attribute blue/bright/varn/clean=V numeric
@attribute blue/bright/varn/clean=C numeric
@attribute lustre=Y numeric
@attribute jurofm=Y numeric
@attribute s=Y numeric
@attribute p=Y numeric
@attribute shape=SHEET numeric
@attribute thick numeric
@attribute width numeric
@attribute len numeric
@attribute oil=- numeric
@attribute oil=Y numeric
@attribute oil=N numeric
@attribute bore=0 numeric
@attribute bore=500 numeric
@attribute bore=600 numeric
@attribute bore=760 numeric
@attribute packing=- numeric
@attribute packing=1 numeric
@attribute packing=2 numeric
@attribute packing=3 numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute NewNumeric6 numeric
@attribute NewNumeric7 numeric
@attribute NewNumeric8 numeric
@attribute NewNumeric9 numeric
@attribute NewNumeric10 numeric
@attribute NewNumeric11 numeric
@attribute NewNumeric12 numeric
@attribute NewNumeric13 numeric
@attribute NewNumeric14 numeric
@attribute NewNumeric15 numeric
@attribute NewNumeric16 numeric
@attribute NewNumeric17 numeric
@attribute NewNumeric18 numeric
@attribute NewNumeric19 numeric
@attribute NewNumeric20 numeric
@attribute NewNumeric21 numeric
@attribute NewNumeric22 numeric
@attribute NewNumeric23 numeric
@attribute NewNumeric24 numeric
@attribute NewNumeric25 numeric
@attribute NewNumeric26 numeric
@attribute class {1,2,3,4,5,U}

@data
?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,?,0,1,0,0,0,0,1,0,0,0,0,?,?,?,?,0,0,1,0,0,?,?,?,?,?,?,?,?,?,0,1,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.122074,0.013115,0,?,?,?,1,0,0,0,?,?,?,?,0.068164,0.736373,0.304209,0.111771,0.917953,0.936941,0.493622,0.64081,0.439023,0.616683,0.037998,0.815379,0.99116,0.881338,0.994847,0.249356,0.046422,0.460926,0.287863,0.645899,0.384025,0.214675,0.049313,0.307683,0.305518,0.113632,0.090168,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,?,0,1,0,0,0,0,1,0,0,0,0,?,?,?,?,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.787234,0.865574,0,?,?,?,1,0,0,0,?,?,?,?,0.606039,0.015263,0.553664,0.205557,0.675729,0.495881,0.803116,0.192092,0.52324,0.548712,0.905515,0.171846,0.585278,0.715394,0.940137,0.405736,0.423685,0.020991,0.651355,0.315502,0.473148,0.484196,0.850872,0.117602,0.888505,0.51612,0.269817,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,?,0,1,0,0,0,0,1,0,0,0,0,?,?,?,?,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.175532,0.633508,0,?,?,?,1,0,0,0,?,?,?,?,0.040739,0.265817,0.79031,0.298207,0.810939,0.10426,0.877319,0.076216,0.592859,0.378257,0.839288,0.841348,0.374697,0.984977,0.275447,0.945609,0.338756,0.296684,0.658135,0.444869,0.912851,0.158672,0.581556,0.177156,0.202581,0.028803,0.909275,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,0.571429,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.148936,0.04918,0,?,?,?,1,0,0,0,?,?,?,?,0.892069,0.810713,0.659417,0.58058,0.34504,0.185962,0.447694,0.269158,0.320158,0.092124,0.851538,0.881371,0.85179,0.306236,0.081145,0.351138,0.954362,0.594371,0.60406,0.073264,0.729272,0.698143,0.177233,0.072669,0.622526,0.62972,0.804136,1
?,?,?,?,?,?,?,?,?,?,0,0,0,?,?,?,?,?,?,?,?,?,0,0,?,0,1,0,0,0,1,0,0,0,0,0,?,?,?,?,0,0,0,0,1,?,?,?,?,?,?,?,?,?,0,1,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0.016223,0.327869,0.844262,0,1,0,1,0,0,0,?,?,?,?,0.017403,0.461057,0.254937,0.650645,0.085805,0.429808,0.771805,0.120483,0.039818,0.472478,0.56633,0.174902,0.22295,0.494907,0.86692,0.437841,0.170019,0.701242,0.472999,0.264501,0.224811,0.752673,0.307011,0.694818,0.591827,0.594263,0.871742,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,?,0,1,0,0,0,0,1,0,0,0,0,?,?,?,?,0,0,1,0,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0.12234,0.098361,0.156148,?,?,?,1,0,0,0,?,?,?,?,0.694094,0.200694,0.829206,0.852222,0.299646,0.384586,0.685438,0.387517,0.646021,0.985735,0.720809,0.79098,0.317184,0.01144,0.377368,0.224765,0.962432,0.004443,0.720699,0.001582,0.29872,0.909701,0.007766,0.210404,0.950836,0.74109,0.740239,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,0.714286,?,?,?,?,0,0,0,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.361702,0.865574,0,?,?,?,1,0,0,0,?,?,?,?,0.165256,0.945307,0.676437,0.96617,0.819555,0.076926,0.06573,0.89027,0.101085,0.274144,0.635901,0.04628,0.64172,0.391597,0.668947,0.123373,0.009148,0.504583,0.144529,0.62565,0.450264,0.944401,0.808624,0.350761,0.279314,0.261888,0.417022,3
0,0,0,0,1,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,0,0,?,0,0,1,0,0,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.361702,0.8,0,?,?,?,1,0,0,0,?,?,?,?,0.778218,0.2456,0.899497,0.65282,0.867661,0.538686,0.5203,0.500097,0.701534,0.383239,0.179692,0.227548,0.622234,0.000242,0.837207,0.55845,0.034686,0.021016,0.099826,0.941169,0.290615,0.763322,0.539315,0.238178,0.729874,0.022729,0.199257,5
?,?,?,?,?,?,?,?,?,?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,?,0,1,0,0,0,0,1,0,0,0,0,?,?,?,?,0,0,1,0,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0.015957,0.865574,0.156148,0,1,0,1,0,0,0,?,?,?,?,0.63949,0.785238,0.857035,0.368729,0.219222,0.804021,0.91288,0.908985,0.222979,0.885966,0.801611,0.250688,0.435357,0.717654,0.995864,0.534402,0.246032,0.098079,0.432538,0.753192,0.637067,0.963945,0.493265,0.505118,0.460471,0.520516,0.532019,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0.823529,0,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,0,0,0,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.148936,0.032787,0,?,?,?,1,0,0,0,?,?,?,?,0.632772,0.271024,0.593725,0.305707,0.138447,0.462445,0.710254,0.734817,0.002733,0.110127,0.51124,0.607006,0.347131,0.658822,0.411976,0.357915,0.992562,0.121494,0.753812,0.257039,0.824553,0.096689,0.960801,0.286563,0.57535,0.205205,0.105129,3
?,?,?,?,?,?,?,?,?,?,0,0,0,?,?,?,?,?,?,?,?,?,0,0,?,0,1,0,0,0,1,0,0,0,0,0,?,?,?,?,0,0,0,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0.042553,0.4,0.156148,?,?,?,1,0,0,0,?,?,?,?,0.281528,0.375307,0.337968,0.555325,0.866933,0.769109,0.635395,0.963796,0.217485,0.454475,0.445417,0.990377,0.163166,0.915742,0.344472,0.388062,0.583188,0.965709,0.057241,0.287491,0.304357,0.652714,0.072348,0.357947,0.459832,0.863925,0.932619,3
?,?,?,?,?,?,?,?,?,?,0,0,0,?,?,?,?,?,?,?,?,?,0,0,?,0,1,0,0,0,1,0,0,0,0,0,?,?,?,?,0,0,0,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0.122074,0.4,0.12541,?,?,?,1,0,0,0,?,?,?,?,0.445544,0.844393,0.432423,0.183017,0.76769,0.027683,0.919271,0.534225,0.297734,0.626274,0.509047,0.693327,0.929708,0.796907,0.182456,0.133832,0.8301,0.450711,0.352835,0.249255,0.688707,0.60562,0.927619,0.183141,0.208035,0.028186,0.196173,3
