@relation iris-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute NewNumeric0 numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.222222,0.208333,0.338983,0.416667,0.229008,Iris-versicolor
0.305556,0.791667,0.118644,0.125,0.71819,Iris-setosa
0.25,0.291667,0.491525,0.541667,0.624358,Iris-versicolor
0.416667,0.833333,0.033898,0.041667,0.036329,Iris-setosa
0.555556,0.208333,0.677966,0.75,0.166109,Iris-virginica
0.388889,0.75,0.118644,0.083333,0.483196,Iris-setosa
0.194444,0.416667,0.101695,0.041667,0.255941,Iris-setosa
0.666667,0.458333,0.779661,0.958333,0.090518,Iris-virginica
0.055556,0.125,0.050847,0.083333,0.483842,Iris-setosa
0.333333,0.166667,0.457627,0.375,0.850225,Iris-versicolor
0.388889,1,0.084746,0.125,0.752312,Iris-setosa
0.305556,0.583333,0.084746,0.125,0.845161,Iris-setosa
0.416667,0.333333,0.694915,0.958333,0.192304,Iris-virginica
0.25,0.583333,0.067797,0.041667,0.109519,Iris-setosa
0.388889,0.416667,0.542373,0.458333,0.244614,Iris-versicolor
0.555556,0.541667,0.847458,1,0.584756,Iris-virginica
0.472222,0.583333,0.59322,0.625,0.172569,Iris-versicolor
0.444444,0.5,0.644068,0.708333,0.25101,Iris-versicolor
0.138889,0.458333,0.101695,0.041667,0.754766,Iris-setosa
0.027778,0.416667,0.050847,0.041667,0.276445,Iris-setosa
0.083333,0.583333,0.067797,0.083333,0.72711,Iris-setosa
0,0.416667,0.016949,0,0.779901,Iris-setosa
0.694444,0.5,0.830508,0.916667,0.151865,Iris-virginica
0.583333,0.375,0.559322,0.5,0.316226,Iris-versicolor
0.583333,0.5,0.59322,0.583333,0.69112,Iris-versicolor
0.416667,0.291667,0.694915,0.75,0.317327,Iris-virginica
0.333333,0.625,0.050847,0.041667,0.359376,Iris-setosa
0.5,0.333333,0.627119,0.458333,0.632116,Iris-versicolor
