@relation titanic-train-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute passengerId numeric
@attribute pclass=1 numeric
@attribute pclass=2 numeric
@attribute pclass=3 numeric
@attribute sex=female numeric
@attribute age numeric
@attribute sibsp numeric
@attribute parch numeric
@attribute fare numeric
@attribute embarked=C numeric
@attribute embarked=Q numeric
@attribute embarked=S numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute survival {0,1}

@data
0,0,0,1,0,0.271174,0.125,0,0.014151,0,0,1,0.823292,0.011509,0.608655,0
0.001124,1,0,0,1,0.472229,0.125,0,0.139136,1,0,0,0.512467,0.705708,0.525075,1
0.002247,0,0,1,1,0.321438,0,0,0.015469,0,0,1,0.99086,0.273287,0.951892,1
0.003371,1,0,0,1,0.434531,0.125,0,0.103644,0,0,1,0.173049,0.30694,0.419677,1
0.004494,0,0,1,0,0.434531,0,0,0.015713,0,0,1,0.949278,0.007837,0.296807,0
0.005618,0,0,1,0,?,0,0,0.01651,0,1,0,0.96255,0.372978,0.665759,0
0.006742,1,0,0,0,0.673285,0,0,0.101229,0,0,1,0.170707,0.532204,0.246419,0
0.007865,0,0,1,0,0.019854,0.375,0.166667,0.041136,0,0,1,0.392968,0.66414,0.315541,0
0.008989,0,0,1,1,0.334004,0,0.333333,0.021731,0,0,1,0.412159,0.705894,0.850488,1
0.010112,0,1,0,1,0.170646,0.125,0,0.058694,1,0,0,0.44575,0.962131,0.406272,1
0.011236,0,0,1,1,0.044986,0.125,0.166667,0.032596,0,0,1,0.511369,0.569895,0.944094,1
0.01236,1,0,0,1,0.723549,0,0,0.051822,0,0,1,0.194964,0.527639,0.951868,1
0.013483,0,0,1,0,0.246042,0,0,0.015713,0,0,1,0.973025,0.593767,0.045374,0
0.014607,0,0,1,0,0.484795,0.125,0.833333,0.061045,0,0,1,0.904636,0.464871,0.186772,0
0.01573,0,0,1,1,0.170646,0,0,0.01533,0,0,1,0.00195,0.741415,0.136122,0
0.016854,0,1,0,1,0.685851,0,0,0.03123,0,0,1,0.94693,0.997106,0.402957,1
0.017978,0,0,1,0,0.019854,0.5,0.166667,0.056848,0,1,0,0.956465,0.980825,0.69041,0
0.019101,0,1,0,0,?,0,0,0.025374,0,0,1,0.929165,0.699371,0.563742,1
0.020225,0,0,1,1,0.384267,0.125,0,0.035134,0,0,1,0.101126,0.951621,0.487151,0
0.021348,0,0,1,1,?,0,0,0.014102,1,0,0,0.708964,0.435033,0.190592,1
0.022472,0,1,0,0,0.434531,0,0,0.050749,0,0,1,0.069354,0.357388,0.000615,0
0.023596,0,1,0,0,0.421965,0,0,0.025374,0,0,1,0.265094,0.466633,0.095116,1
0.024719,0,0,1,1,0.183212,0,0,0.015672,0,1,0,0.373792,0.717583,0.450752,1
0.025843,1,0,0,0,0.346569,0,0,0.069291,0,0,1,0.283339,0.806414,0.771482,1
0.026966,0,0,1,1,0.09525,0.375,0.166667,0.041136,0,0,1,0.380329,0.456136,0.089491,0
0.02809,0,0,1,1,0.472229,0.125,0.833333,0.061264,0,0,1,0.5277,0.921554,0.437107,1
0.029213,0,0,1,0,?,0,0,0.014102,1,0,0,0.379933,0.839341,0.661104,0
0.030337,1,0,0,0,0.233476,0.375,0.333333,0.513342,0,0,1,0.672786,0.980676,0.183782,0
0.031461,0,0,1,1,?,0,0,0.015379,0,1,0,0.224305,0.032824,0.599773,1
0.032584,0,0,1,0,?,0,0,0.015412,0,0,1,0.95771,0.723379,0.708876,0
0.033708,1,0,0,0,0.497361,0,0,0.054107,1,0,0,0.645022,0.913852,0.795555,0
