@relation vote-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute handicapped-infants=y numeric
@attribute water-project-cost-sharing=y numeric
@attribute adoption-of-the-budget-resolution=y numeric
@attribute physician-fee-freeze=y numeric
@attribute el-salvador-aid=y numeric
@attribute religious-groups-in-schools=y numeric
@attribute anti-satellite-test-ban=y numeric
@attribute aid-to-nicaraguan-contras=y numeric
@attribute mx-missile=y numeric
@attribute immigration=y numeric
@attribute synfuels-corporation-cutback=y numeric
@attribute education-spending=y numeric
@attribute superfund-right-to-sue=y numeric
@attribute crime=y numeric
@attribute duty-free-exports=y numeric
@attribute export-administration-act-south-africa=y numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute Class {democrat,republican}

@data
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0.044053,0.369732,0.155069,0.828024,0.43259,democrat
0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0.042114,0.801206,0.605805,0.090059,0.449619,republican
1,0,1,0,0,0,1,1,?,1,1,1,0,1,0,1,0.912073,0.217828,0.235591,0.835654,0.110203,democrat
1,0,1,0,0,0,1,1,?,0,0,0,0,0,0,?,0.341583,0.488641,0.428574,0.877471,0.921385,democrat
0,0,1,0,0,1,1,1,1,1,1,0,0,0,?,1,0.202958,0.825617,0.065559,0.023444,0.449687,democrat
0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0.508513,0.214823,0.452829,0.347187,0.28082,democrat
1,?,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0.044233,0.521751,0.557384,0.523922,0.322763,republican
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.32592,0.854671,0.680814,0.728299,0.930745,republican
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.723658,0.125167,0.519826,0.198421,0.634974,democrat
0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0.15327,0.55315,0.262886,0.595214,0.61156,republican
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.639963,0.256931,0.227097,0.665514,0.147339,republican
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.470045,0.395013,0.578977,0.619349,0.607358,democrat
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0.031727,0.939443,0.54259,0.735486,0.253627,democrat
1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,?,0.643475,0.743779,0.342839,0.785654,0.413935,democrat
1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.892769,0.785406,0.439558,0.654348,0.622377,democrat
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.055653,0.64605,0.240087,0.291627,0.678007,republican
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.464917,0.040675,0.361424,0.957368,0.539081,republican
0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.490101,0.130599,0.428889,0.497225,0.584658,democrat
1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0.696744,0.957885,0.768074,0.644268,0.1921,democrat
0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,?,0.993628,0.77583,0.568525,0.312597,0.739913,democrat
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.738667,0.852646,0.88719,0.149055,0.548877,republican
1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.441348,0.399581,0.213494,0.418901,0.70634,democrat
0,1,1,0,0,1,1,1,?,1,0,0,0,0,0,1,0.345398,0.282986,0.113019,0.410684,0.644842,democrat
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.777319,0.23238,0.377217,0.853262,0.831876,republican
1,1,1,0,0,0,1,1,1,0,1,?,0,0,0,1,0.426174,0.037862,0.415876,0.620462,0.350361,democrat
1,?,1,0,?,?,1,1,1,0,0,0,0,0,1,?,0.55703,0.075923,0.678503,0.155595,0.635897,democrat
1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0.637402,0.605066,0.306893,0.683373,0.050441,democrat
1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0.548411,0.094506,0.724837,0.391418,0.443289,democrat
1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0.082712,0.986267,0.372429,0.478688,0.243034,democrat
0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0.963072,0.426319,0.639331,0.615537,0.988491,republican
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.869032,0.751611,0.694982,0.92655,0.175469,republican
0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0.487808,0.387066,0.923181,0.426776,0.539658,democrat
0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0.476857,0.08299,0.922037,0.088396,0.151157,democrat
1,?,1,0,0,0,1,1,1,0,0,?,0,0,1,1,0.907232,0.839405,0.07392,0.149536,0.55121,democrat
0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0.916679,0.889487,0.656251,0.867512,0.67248,republican
0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0.38166,0.252594,0.603381,0.34546,0.66474,democrat
1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0.255572,0.426533,0.810479,0.789698,0.778169,republican
1,1,1,0,0,0,1,1,?,0,1,0,0,0,1,?,0.640497,0.027891,0.760457,0.054716,0.907763,democrat
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.867741,0.888892,0.705846,0.181598,0.688077,republican
1,1,0,0,1,?,0,0,0,0,1,0,1,1,0,1,0.631614,0.032285,0.445515,0.654358,0.442056,democrat
1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0.265571,0.244026,0.862524,0.314967,0.603768,democrat
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.833167,0.697694,0.479246,0.028927,0.083795,republican
1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,?,0.444295,0.834706,0.528609,0.628902,0.414486,democrat
0,?,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.178544,0.00173,0.673181,0.920071,0.84253,republican
1,?,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0.680196,0.606578,0.165995,0.499344,0.325015,democrat
?,?,1,0,0,0,1,1,?,0,?,?,?,?,?,?,0.700462,0.662356,0.546822,0.666942,0.831994,democrat
0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0.781342,0.94697,0.032269,0.607132,0.520461,democrat
1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0.790493,0.730429,0.192964,0.892725,0.410167,democrat
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0.038973,0.185518,0.098993,0.314259,0.894543,democrat
0,1,0,1,1,1,0,0,0,0,0,?,1,1,0,0,0.759558,0.745325,0.744367,0.125642,0.266983,republican
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.970072,0.575584,0.279445,0.535191,0.339728,democrat
1,1,1,0,0,0,1,1,1,0,0,0,?,?,1,1,0.928215,0.788986,0.318265,0.471649,0.244149,democrat
0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0.296356,0.70918,0.018936,0.969123,0.892009,republican
1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,?,0.16828,0.208156,0.777645,0.652832,0.932044,democrat
0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0.156454,0.618844,0.959403,0.71351,0.1688,republican
1,1,1,0,?,0,1,1,1,1,0,0,0,0,1,?,0.945694,0.814031,0.357819,0.377946,0.923403,democrat
1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0.9966,0.480169,0.624406,0.823399,0.579154,republican
1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0.905239,0.869451,0.26216,0.772898,0.033086,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.896595,0.681292,0.893491,0.319849,0.030877,democrat
1,1,1,?,0,1,1,1,1,0,1,0,1,0,?,1,0.708168,0.758287,0.971244,0.638236,0.728669,democrat
1,0,0,1,1,1,0,0,0,1,0,?,1,1,0,0,0.743511,0.794408,0.724463,0.129598,0.634341,republican
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.642043,0.537394,0.864894,0.552463,0.509774,republican
0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,?,0.912699,0.533405,0.93242,0.993245,0.798701,democrat
0,?,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.81667,0.501841,0.097349,0.254345,0.467251,republican
?,?,?,0,0,0,1,1,1,1,0,0,1,0,1,1,0.216809,0.366033,0.40497,0.187303,0.239221,democrat
0,0,1,0,0,0,1,1,1,1,1,0,?,0,1,?,0.030261,0.867944,0.652967,0.530273,0.829618,democrat
1,0,1,0,0,1,0,1,?,1,1,1,?,0,0,1,0.367094,0.963972,0.49911,0.033952,0.636586,democrat
0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.515772,0.880559,0.445443,0.735513,0.937134,democrat
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.101101,0.90609,0.367572,0.329158,0.898175,democrat
0,1,0,1,1,1,0,0,0,0,1,?,1,1,?,?,0.279141,0.281308,0.899726,0.587979,0.887856,republican
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,?,0.276667,0.925582,0.957523,0.603704,0.320496,republican
1,?,1,0,0,0,1,1,1,0,?,0,0,0,1,?,0.030164,0.598706,0.005736,0.50263,0.579775,democrat
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.438969,0.828233,0.534391,0.281809,0.110418,republican
1,0,1,0,0,0,1,1,?,0,1,0,0,0,1,1,0.334676,0.121032,0.580231,0.262066,0.174291,democrat
1,1,1,0,0,0,1,1,0,1,1,0,0,?,1,1,0.726181,0.964466,0.945965,0.448278,0.124928,democrat
0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0.5259,0.435248,0.781992,0.538359,0.164901,democrat
0,1,1,1,1,1,1,?,0,0,0,0,?,?,1,?,0.096435,0.661013,0.860126,0.848128,0.785198,republican
1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0.686403,0.823096,0.550797,0.75211,0.427821,republican
1,?,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.106343,0.298001,0.802562,0.583325,0.626473,democrat
