@relation anneal-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute family=- numeric
@attribute family=GB numeric
@attribute family=GK numeric
@attribute family=GS numeric
@attribute family=TN numeric
@attribute family=ZA numeric
@attribute family=ZF numeric
@attribute family=ZH numeric
@attribute family=ZM numeric
@attribute family=ZS numeric
@attribute product-type=C numeric
@attribute product-type=H numeric
@attribute product-type=G numeric
@attribute steel=- numeric
@attribute steel=R numeric
@attribute steel=A numeric
@attribute steel=U numeric
@attribute steel=K numeric
@attribute steel=M numeric
@attribute steel=S numeric
@attribute steel=W numeric
@attribute steel=V numeric
@attribute carbon numeric
@attribute hardness numeric
@attribute temper_rolling=T numeric
@attribute condition=- numeric
@attribute condition=S numeric
@attribute condition=A numeric
@attribute condition=X numeric
@attribute formability=- numeric
@attribute formability=1 numeric
@attribute formability=2 numeric
@attribute formability=3 numeric
@attribute formability=4 numeric
@attribute formability=5 numeric
@attribute strength numeric
@attribute non-ageing=N numeric
@attribute surface-finish=- numeric
@attribute surface-finish=P numeric
@attribute surface-finish=M numeric
@attribute surface-quality=- numeric
@attribute surface-quality=D numeric
@attribute surface-quality=E numeric
@attribute surface-quality=F numeric
@attribute surface-quality=G numeric
@attribute enamelability=- numeric
@attribute enamelability=1 numeric
@attribute enamelability=2 numeric
@attribute enamelability=3 numeric
@attribute enamelability=4 numeric
@attribute enamelability=5 numeric
@attribute bc=Y numeric
@attribute bf=Y numeric
@attribute bt=Y numeric
@attribute bw/me=- numeric
@attribute bw/me=B numeric
@attribute bw/me=M numeric
@attribute bl=Y numeric
@attribute m=Y numeric
@attribute chrom=C numeric
@attribute phos=P numeric
@attribute cbond=Y numeric
@attribute marvi=Y numeric
@attribute exptl=Y numeric
@attribute ferro=Y numeric
@attribute corr=Y numeric
@attribute blue/bright/varn/clean=- numeric
@attribute blue/bright/varn/clean=B numeric
@attribute blue/bright/varn/clean=R numeric
@attribute blue/bright/varn/clean=V numeric
@attribute blue/bright/varn/clean=C numeric
@attribute lustre=Y numeric
@attribute jurofm=Y numeric
@attribute s=Y numeric
@attribute p=Y numeric
@attribute shape=SHEET numeric
@attribute thick numeric
@attribute width numeric
@attribute len numeric
@attribute oil=- numeric
@attribute oil=Y numeric
@attribute oil=N numeric
@attribute bore=0 numeric
@attribute bore=500 numeric
@attribute bore=600 numeric
@attribute bore=760 numeric
@attribute packing=- numeric
@attribute packing=1 numeric
@attribute packing=2 numeric
@attribute packing=3 numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute NewNumeric6 numeric
@attribute NewNumeric7 numeric
@attribute NewNumeric8 numeric
@attribute NewNumeric9 numeric
@attribute NewNumeric10 numeric
@attribute NewNumeric11 numeric
@attribute NewNumeric12 numeric
@attribute NewNumeric13 numeric
@attribute NewNumeric14 numeric
@attribute NewNumeric15 numeric
@attribute NewNumeric16 numeric
@attribute NewNumeric17 numeric
@attribute NewNumeric18 numeric
@attribute NewNumeric19 numeric
@attribute NewNumeric20 numeric
@attribute NewNumeric21 numeric
@attribute NewNumeric22 numeric
@attribute NewNumeric23 numeric
@attribute NewNumeric24 numeric
@attribute NewNumeric25 numeric
@attribute NewNumeric26 numeric
@attribute NewNumeric27 numeric
@attribute NewNumeric28 numeric
@attribute NewNumeric29 numeric
@attribute NewNumeric30 numeric
@attribute NewNumeric31 numeric
@attribute NewNumeric32 numeric
@attribute NewNumeric33 numeric
@attribute NewNumeric34 numeric
@attribute NewNumeric35 numeric
@attribute NewNumeric36 numeric
@attribute NewNumeric37 numeric
@attribute NewNumeric38 numeric
@attribute NewNumeric39 numeric
@attribute NewNumeric40 numeric
@attribute NewNumeric41 numeric
@attribute NewNumeric42 numeric
@attribute NewNumeric43 numeric
@attribute NewNumeric44 numeric
@attribute class {1,2,3,4,5,U}

@data
?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,?,0,1,0,0,0,0,1,0,0,0,0,?,?,?,?,0,0,1,0,0,?,?,?,?,?,?,?,?,?,0,1,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.122074,0.013115,0,?,?,?,1,0,0,0,?,?,?,?,0.661407,0.364245,0.784895,0.031307,0.385172,0.014891,0.611808,0.826559,0.581466,0.466149,0.042828,0.406603,0.329955,0.061285,0.538078,0.344817,0.364633,0.576211,0.373044,0.46397,0.507482,0.699361,0.760687,0.630432,0.767807,0.131704,0.358023,0.580791,0.380047,0.433454,0.3621,0.304417,0.253049,0.436406,0.897374,0.619758,0.347751,0.826986,0.237292,0.29016,0.387893,0.384952,0.587471,0.326763,0.039843,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,?,0,1,0,0,0,0,1,0,0,0,0,?,?,?,?,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.787234,0.865574,0,?,?,?,1,0,0,0,?,?,?,?,0.276076,0.407186,0.521608,0.788725,0.971319,0.087703,0.684123,0.634541,0.957815,0.571985,0.241263,0.669436,0.754501,0.612876,0.297177,0.662705,0.024897,0.376402,0.387884,0.908457,0.696509,0.895451,0.314635,0.57525,0.617412,0.08876,0.09005,0.680159,0.21494,0.103347,0.694879,0.111923,0.61068,0.657503,0.004378,0.84365,0.228972,0.824102,0.998147,0.535129,0.112873,0.300498,0.215928,0.128095,0.932046,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,?,0,1,0,0,0,0,1,0,0,0,0,?,?,?,?,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.175532,0.633508,0,?,?,?,1,0,0,0,?,?,?,?,0.274287,0.730543,0.617271,0.61061,0.090956,0.937506,0.91212,0.240313,0.496909,0.35811,0.062134,0.650139,0.138516,0.578565,0.604431,0.850723,0.718475,0.714095,0.061572,0.240207,0.635275,0.721153,0.990059,0.014555,0.860248,0.611052,0.592398,0.836613,0.699522,0.335594,0.229982,0.376804,0.679007,0.573305,0.811726,0.968221,0.725099,0.696646,0.514857,0.342523,0.092146,0.846074,0.619444,0.230412,0.109732,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,0.571429,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.148936,0.04918,0,?,?,?,1,0,0,0,?,?,?,?,0.110778,0.361829,0.709267,0.515053,0.503459,0.044623,0.520619,0.787654,0.461186,0.039616,0.386327,0.957444,0.673934,0.09907,0.601688,0.080929,0.677843,0.678249,0.092258,0.960207,0.656951,0.802856,0.023725,0.463616,0.154927,0.735322,0.252601,0.475603,0.063583,0.275715,0.537761,0.485899,0.759841,0.342633,0.359581,0.184544,0.861473,0.632746,0.713975,0.629521,0.764286,0.654751,0.362851,0.59767,0.909583,1
?,?,?,?,?,?,?,?,?,?,0,0,0,?,?,?,?,?,?,?,?,?,0,0,?,0,1,0,0,0,1,0,0,0,0,0,?,?,?,?,0,0,0,0,1,?,?,?,?,?,?,?,?,?,0,1,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0.016223,0.327869,0.844262,0,1,0,1,0,0,0,?,?,?,?,0.979428,0.251683,0.083903,0.902783,0.622206,0.404532,0.573005,0.028283,0.53558,0.365088,0.974487,0.226196,0.893405,0.916526,0.321626,0.264172,0.216494,0.882919,0.596433,0.855482,0.90333,0.576514,0.528293,0.031709,0.94651,0.630052,0.116956,0.589647,0.380162,0.214744,0.497888,0.525551,0.235061,0.118086,0.796312,0.765459,0.853327,0.723131,0.988334,0.489505,0.333545,0.591931,0.503397,0.931181,0.639867,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,?,0,1,0,0,0,0,1,0,0,0,0,?,?,?,?,0,0,1,0,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0.12234,0.098361,0.156148,?,?,?,1,0,0,0,?,?,?,?,0.725993,0.404584,0.763962,0.545349,0.965997,0.90554,0.14694,0.159857,0.982255,0.548836,0.809445,0.247053,0.418207,0.123356,0.488215,0.28494,0.149167,0.136949,0.864289,0.038188,0.496453,0.691525,0.197647,0.171855,0.282192,0.50895,0.787796,0.347971,0.204376,0.794573,0.238424,0.798971,0.282274,0.575458,0.946622,0.619044,0.986532,0.944312,0.773307,0.605251,0.126337,0.277806,0.481369,0.414899,0.61774,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,0.714286,?,?,?,?,0,0,0,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.361702,0.865574,0,?,?,?,1,0,0,0,?,?,?,?,0.639316,0.968492,0.564908,0.801879,0.255702,0.609821,0.898875,0.244424,0.181777,0.311486,0.080532,0.513823,0.404922,0.344995,0.482149,0.996028,0.437038,0.928797,0.443136,0.104756,0.950149,0.826051,0.657115,0.70882,0.113503,0.548676,0.554708,0.01086,0.4738,0.859153,0.604267,0.176883,0.342273,0.000858,0.121694,0.427169,0.118154,0.420671,0.6932,0.803945,0.787619,0.674391,0.671307,0.429899,0.990658,3
0,0,0,0,1,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,0,0,?,0,0,1,0,0,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.361702,0.8,0,?,?,?,1,0,0,0,?,?,?,?,0.067167,0.061963,0.750054,0.49589,0.540132,0.774598,0.318179,0.993244,0.861894,0.792124,0.525884,0.359099,0.218772,0.315171,0.237315,0.136503,0.618362,0.576368,0.89909,0.376475,0.57022,0.489728,0.024007,0.213407,0.568423,0.487583,0.653061,0.129746,0.054303,0.731426,0.542929,0.161302,0.823824,0.22386,0.034096,0.682159,0.223909,0.033414,0.356541,0.639666,0.955695,0.872308,0.525427,0.185146,0.870058,5
?,?,?,?,?,?,?,?,?,?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,?,0,1,0,0,0,0,1,0,0,0,0,?,?,?,?,0,0,1,0,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0.015957,0.865574,0.156148,0,1,0,1,0,0,0,?,?,?,?,0.198889,0.268073,0.866341,0.08401,0.824413,0.71246,0.157628,0.651063,0.757716,0.279029,0.031772,0.488657,0.260502,0.196463,0.383555,0.194449,0.189398,0.840371,0.952143,0.692277,0.499789,0.371921,0.827121,0.120702,0.538433,0.789139,0.273629,0.397078,0.536336,0.109256,0.00145,0.103749,0.976036,0.655304,0.562469,0.019695,0.613923,0.768866,0.464235,0.891468,0.888379,0.713204,0.834444,0.901524,0.238509,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0.823529,0,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,0,0,0,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.148936,0.032787,0,?,?,?,1,0,0,0,?,?,?,?,0.294048,0.72891,0.240935,0.933528,0.277968,0.661949,0.328743,0.709968,0.302293,0.540806,0.801272,0.526522,0.20689,0.499417,0.802801,0.456663,0.108447,0.281058,0.993846,0.05505,0.744328,0.685356,0.008899,0.649972,0.395177,0.303314,0.434734,0.20074,0.22424,0.749696,0.411405,0.377052,0.423147,0.583496,0.181724,0.295772,0.699412,0.932498,0.232375,0.472544,0.380141,0.506795,0.080948,0.011564,0.73947,3
