@relation blood-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R5-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R5-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute 'Recency (months)' numeric
@attribute 'Frequency (times)' numeric
@attribute 'Monetary (c.c. blood)' numeric
@attribute 'Time (months)' numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute 'whether he/she donated blood in March 2007' {0,1}

@data
0.283784,0.081633,0.081633,0.604167,0.508655,0.824595,0
0.054054,0,0,0.020833,0.591675,0.667547,0
0.175676,0.142857,0.142857,0.25,0.024455,0.279891,0
0.283784,0.040816,0.040816,0.645833,0.663765,0.519,0
0.189189,0.081633,0.081633,0.125,0.652799,0.801382,0
0.054054,0.040816,0.040816,0.71875,0.339694,0.85557,0
0.054054,0.020408,0.020408,0.40625,0.168912,0.943413,0
0.027027,0.102041,0.102041,0.270833,0.793935,0.237078,1
0.216216,0,0,0.145833,0.34261,0.967327,0
0.054054,0.020408,0.020408,0.510417,0.02679,0.834882,1
0.054054,0.061224,0.061224,0.40625,0.036875,0.966844,0
0.148649,0.163265,0.163265,0.322917,0.138585,0.573096,0
0.162162,0.285714,0.285714,0.71875,0.411309,0.035524,0
0.027027,0,0,0,0.780107,0.770802,0
0.027027,0.857143,0.857143,0.875,0.120507,0.123895,1
0.027027,0,0,0,0.808496,0.255646,0
0.310811,0,0,0.21875,0.277295,0.418454,0
0.027027,0,0,0,0.885793,0.80686,0
0.216216,0.061224,0.061224,0.583333,0.736864,0.915526,0
0.027027,0.061224,0.061224,0.34375,0.871624,0.829732,0
0.054054,0.020408,0.020408,0.28125,0.950269,0.360071,0
0.040541,0,0,0.010417,0.381994,0.363714,1
0.310811,0.367347,0.367347,0.625,0.234361,0.872828,0
0.054054,0,0,0.020833,0.812932,0.882834,0
0.054054,0.020408,0.020408,0.302083,0.810107,0.398756,0
0.148649,0,0,0.09375,0.460729,0.859741,0
0.027027,0.020408,0.020408,0,0.372396,0.575562,0
0.216216,0.122449,0.122449,0.885417,0.109766,0.733679,1
0.121622,0.081633,0.081633,0.510417,0.271799,0.743178,1
0.027027,0.020408,0.020408,0.083333,0.604456,0.747871,0
0.027027,0,0,0,0.612403,0.593348,0
0.283784,0,0,0.197917,0.473551,0.103251,0
0.310811,0,0,0.21875,0.699697,0.393087,0
0.216216,0.020408,0.020408,0.25,0.633099,0.013159,0
0.513514,0,0,0.375,0.308635,0.806567,0
0.148649,0.061224,0.061224,0.75,0.55859,0.537573,0
0.148649,0.020408,0.020408,0.09375,0.184392,0.087073,0
0.054054,0.142857,0.142857,0.479167,0.087314,0.52565,1
0.027027,0.183673,0.183673,0.270833,0.036939,0.813986,1
0.027027,0.102041,0.102041,0.135417,0.188749,0.601782,1
0.027027,0,0,0,0.045468,0.409319,0
0.054054,0,0,0.020833,0.623778,0.893065,0
0.216216,0.142857,0.142857,0.270833,0.549817,0.384152,0
