@relation Glass-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute Si numeric
@attribute K numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute Fe numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute Type {'build wind float','build wind non-float','vehic wind float','vehic wind non-float',containers,tableware,headlamps}

@data
0.330992,0.369925,0.750557,0.277259,0.519643,0.211111,0.315985,0,0.432432,0.11829,0.883127,0.604851,0.710052,0.277312,'build wind float'
0.27568,0.386466,0.801782,0.264798,0.585714,0.214815,0.254647,0,0,0.642387,0.394541,0.93126,0.094009,0.437008,'build wind float'
0.29324,0.294737,0.788419,0.327103,0.560714,0.211111,0.30855,0,0,0.22584,0.752458,0.587455,0.317662,0.433655,'build wind float'
0.424056,0.458647,0.507795,0.35514,0.389286,0.181481,0.410781,0,0.459459,0.578671,0.883377,0.030334,0.922563,0.384735,'build wind non-float'
0.265584,0.398496,0.77951,0.267913,0.542857,0.185185,0.27881,0,0,0.141626,0.708109,0.922644,0.607063,0.31704,'build wind float'
0.280509,0.413534,0.832962,0.274143,0.567857,0.218519,0.241636,0,0,0.703843,0.062255,0.37881,0.53976,0.941338,'build wind float'
0.261633,0.324812,0.806236,0.398754,0.5625,0.225926,0.249071,0,0,0.676471,0.227727,0.051887,0.30982,0.815975,'build wind non-float'
0.431958,0.445113,0.799555,0.258567,0.383929,0.033333,0.368959,0,0,0.025517,0.161296,0.218485,0.644446,0.460227,'build wind float'
0.21115,0.309774,0.804009,0.41433,0.564286,0.237037,0.245353,0,0.702703,0.768406,0.398623,0.658026,0.374522,0.640527,'build wind float'
0.293679,0.353383,0.777283,0.308411,0.544643,0.222222,0.284387,0,0,0.933484,0.254146,0.133211,0.492764,0.933923,'build wind float'
0.217296,0.390977,0.786192,0.327103,0.510714,0.207407,0.269517,0,0,0.687017,0.142796,0.860991,0.795308,0.679451,'vehic wind float'
0.245391,0.321805,0.792873,0.420561,0.594643,0.240741,0.237918,0,0,0.345546,0.799702,0.219185,0.720971,0.344315,'build wind non-float'
0.323529,0.505263,0.487751,0.426791,0.510714,0,0.361524,0,0,0.117422,0.88385,0.017991,0.618583,0.200558,tableware
0.679982,0.075188,0,0.149533,0.607143,0,0.859665,0,0,0.20617,0.856783,0.521456,0.47588,0.192889,'build wind non-float'
0.351624,0.514286,0,0.560748,0.523214,0,0.506506,0,0,0.055271,0.710014,0.323549,0.023123,0.034791,tableware
0.28446,0.311278,0.815145,0.305296,0.571429,0.222222,0.290892,0,0,0.678117,0.344657,0.832655,0.210358,0.857764,'build wind float'
0.240123,0.318797,0.781737,0.358255,0.571429,0.251852,0.260223,0.019048,0.675676,0.072124,0.078671,0.932245,0.556962,0.761881,'build wind non-float'
0.235294,0.548872,0,0.514019,0.678571,0,0.283457,0.498413,0,0.953104,0.964225,0.936915,0.633045,0.989152,headlamps
0.215101,0.326316,0.766147,0.361371,0.580357,0.162963,0.263941,0,0,0.502872,0.984394,0.671156,0.554143,0.327032,'build wind non-float'
0.346795,0.491729,0.532294,0.395639,0.457143,0,0.384758,0,0,0.823871,0.89343,0.44369,0.860923,0.629411,tableware
0.19842,0.384962,0.768374,0.286604,0.523214,0.207407,0.291822,0,0,0.937129,0.302606,0.964929,0.5209,0.031344,'build wind float'
0.417032,0.545865,0,0.538941,0.644643,0,0.27974,0.520635,0,0.394493,0.505985,0.177212,0.61245,0.359469,headlamps
0.341089,0.410526,0.853007,0.302181,0.489286,0.211111,0.258364,0,0.378378,0.678954,0.268804,0.65061,0.214757,0.66153,'build wind non-float'
0.275241,0.381955,0.806236,0.29595,0.583929,0.203704,0.245353,0,0,0.211676,0.155385,0.36796,0.489934,0.527379,'build wind float'
1,0.23609,0,0.221184,0.0625,0.044444,1,0,0.648649,0.578832,0.068161,0.338296,0.098065,0.755623,'build wind non-float'
0.269974,0.243609,0.605791,0.417445,0.546429,0.259259,0.35316,0,0,0.84607,0.42738,0.598444,0.86577,0.519617,'build wind non-float'
0.481124,0.520301,0.841871,0.193146,0.276786,0.085185,0.344796,0,1,0.483994,0.617576,0.694951,0.451451,0.880008,'vehic wind float'
0,1,0,0.015576,1,0,0.113383,0,0,0.473882,0.245565,0.068365,0.331654,0.36983,tableware
0.293679,0.293233,0.817372,0.271028,0.589286,0.225926,0.303903,0,0,0.034036,0.412697,0.950212,0.320483,0.949182,'build wind float'
0.265145,0.604511,0,0.53271,0.573214,0,0.288104,0.504762,0.216216,0.255524,0.258703,0.510823,0.957253,0.557123,headlamps
0.327041,0.395489,0.76392,0.35514,0.4375,0.188889,0.29461,0,0,0.325175,0.892445,0.393389,0.543675,0.323606,'build wind non-float'
0.485953,0.556391,0,0.221184,0.510714,0.037037,0.565985,0,0.216216,0.495377,0.127976,0.274459,0.989847,0.18604,'build wind non-float'
0.378402,0.463158,0.797327,0.320872,0.341071,0.044444,0.301115,0.219048,0,0.145719,0.015297,0.13942,0.79083,0.834024,'build wind float'
0.349429,0.476692,0.830735,0.277259,0.4125,0.022222,0.321561,0,0,0.426619,0.641128,0.214445,0.004751,0.438485,'build wind float'
0.289728,0.318797,0.775056,0.292835,0.564286,0.225926,0.290892,0.028571,0.594595,0.755485,0.5327,0.868075,0.012168,0.304446,'build wind float'
0.230465,0.547368,0,0.76324,0.542857,0,0.373606,0.171429,0,0.494358,0.122675,0.152177,0.673983,0.084712,headlamps
0.007024,0.445113,0.712695,0.47352,0.535714,0.651852,0,0.377778,0,0.141497,0.938745,0.105829,0.160944,0.273003,headlamps
0.24144,0.362406,0.768374,0.457944,0.476786,0.222222,0.274164,0,0.459459,0.721814,0.889943,0.578801,0.184367,0.292595,'vehic wind float'
0.304214,0.406015,0.639198,0.280374,0.541071,0.203704,0.334572,0,0,0.070774,0.940701,0.334585,0.971066,0.773046,'build wind float'
0.129061,0.529323,0.688196,0.557632,0.441071,0.407407,0.153346,0,0,0.91633,0.669082,0.81662,0.22356,0.103821,'build wind non-float'
0.339333,0.640602,0.173719,0.451713,0.480357,0,0.420074,0,0,0.208026,0.966638,0.327632,0.928161,0.459931,tableware
0.218613,0.479699,0.783964,0.299065,0.548214,0.137037,0.233271,0,0.378378,0.398439,0.969653,0.105729,0.321216,0.890063,'build wind non-float'
0.250219,0.630075,0,0.529595,0.580357,0,0.276022,0.504762,0,0.842351,0.154433,0.573212,0.114504,0.415996,headlamps
0.455224,0.348872,0.812918,0.180685,0.430357,0.07037,0.410781,0,0.459459,0.677736,0.597472,0.657413,0.031425,0.26492,'build wind float'
0.528973,0.449624,0.828508,0.068536,0.346429,0.033333,0.430297,0,0.432432,0.033554,0.166745,0.032942,0.098086,0.392353,'build wind float'
0.321773,0.437594,0.861915,0.305296,0.383929,0.2,0.268587,0,0.864865,0.128997,0.33069,0.982945,0.96086,0.227418,'build wind non-float'
0.286655,0.275188,0.783964,0.35514,0.596429,0.211111,0.289033,0,0,0.047254,0.2805,0.269579,0.502037,0.446613,'build wind float'
0.356014,0.371429,0.741648,0.308411,0.455357,0.222222,0.344796,0,0.297297,0.581772,0.501491,0.154163,0.364641,0.434733,'build wind float'
0.223003,0.512782,0,0.806854,0.5,0.02963,0.348513,0.336508,0,0.991013,0.504136,0.780617,0.876669,0.196887,headlamps
0.306409,0.406015,0.886414,0.277259,0.478571,0.214815,0.252788,0,0,0.682914,0.913914,0.733882,0.969289,0.145643,'build wind non-float'
0.466198,0.371429,0.819599,0.267913,0.525,0.2,0.287175,0,0,0.424157,0.994005,0.19581,0.312106,0.660873,'build wind non-float'
0.231782,0.215038,0.783964,0.330218,0.55,0.211111,0.288104,0,0,0.546298,0.426534,0.098783,0.750435,0.507968,'vehic wind float'
0.230465,0.273684,0.775056,0.492212,0.610714,0.233333,0.246283,0,0.243243,0.115479,0.051237,0.483352,0.199979,0.70214,'build wind non-float'
0.281387,0.36391,0.804009,0.23676,0.6125,0.211111,0.261152,0,0,0.205077,0.266781,0.699458,0.643917,0.964298,'build wind float'
0.309482,0.284211,0.614699,0.168224,0.714286,0.12963,0.370818,0,0.540541,0.929948,0.275983,0.997417,0.268911,0.921746,'build wind non-float'
0.223003,0.521805,0,0.778816,0.651786,0.014815,0.335502,0.126984,0.243243,0.632405,0.992201,0.411978,0.04491,0.867682,headlamps
0.226514,0.392481,0.7951,0.398754,0.546429,0.225926,0.228625,0,0,0.292553,0.596835,0.765619,0.586798,0.760729,'build wind non-float'
0.317384,0.53985,0.726058,0.601246,0.257143,0.540741,0.033457,0.51746,0,0.015743,0.134005,0.748554,0.533851,0.195451,headlamps
0.243635,0.377444,0.7951,0.339564,0.516071,0.207407,0.27974,0,0.27027,0.700321,0.454596,0.926261,0.515406,0.107105,'vehic wind float'
0.272608,0.308271,0.806236,0.311526,0.532143,0.218519,0.303903,0,0,0.74208,0.251585,0.042936,0.533691,0.05317,'build wind float'
0.280948,0.341353,0.801782,0.333333,0.567857,0.211111,0.276022,0,0.297297,0.11813,0.242203,0.3899,0.507191,0.709566,'build wind float'
0.313433,0.377444,0.868597,0.34891,0.45,0.203704,0.267658,0,0.27027,0.376922,0.08573,0.306317,0.664788,0.515925,'build wind non-float'
0.188762,0.512782,0,0.744548,0.639286,0.02963,0.33829,0.193651,0.135135,0.727308,0.543022,0.216411,0.303801,0.709727,headlamps
0.658033,0.446617,0,0.333333,0.255357,0.07037,0.744424,0,0.27027,0.264535,0.055988,0.774271,0.926336,0.070207,'build wind non-float'
0.259877,0.413534,0.775056,0.442368,0.483929,0.22963,0.237918,0,0,0.715234,0.889891,0.606711,0.199455,0.026572,'build wind non-float'
0.252414,0.390977,0.788419,0.411215,0.4875,0.251852,0.249071,0,0,0.222091,0.72768,0.013081,0.642186,0.321862,'build wind non-float'
0.285777,0.372932,0.821826,0.311526,0.5,0.211111,0.259294,0,0,0.557491,0.82502,0.937384,0.004822,0.712461,'build wind float'
0.455224,0.359398,0.797327,0.190031,0.426786,0.085185,0.407993,0,0.432432,0.893159,0.440711,0.118533,0.400322,0.81464,'build wind float'
0.311238,0.321805,0.775056,0.311526,0.560714,0.222222,0.27881,0,0,0.40004,0.379365,0.687219,0.638352,0.692133,'build wind float'
0.454785,0.045113,0.380846,0.395639,0.648214,0.214815,0.575279,0,0,0.429103,0.800434,0.081559,0.165971,0.366372,containers
0.314311,0.550376,0,0.476636,0.544643,0.522222,0.096654,0.914286,0,0.686706,0.62836,0.078234,0.598099,0.077461,headlamps
0.210272,0.354887,0.783964,0.392523,0.546429,0.251852,0.243494,0,0.243243,0.308675,0.575892,0.8881,0.925574,0.647666,'build wind non-float'
0.360843,0.46015,0.536748,0.280374,0.526786,0,0.403346,0,0,0.476901,0.40356,0.581874,0.159298,0.995077,tableware
0.463565,0.124812,0.418708,0.395639,0.544643,0.174074,0.555762,0,0,0.830416,0.018956,0.706092,0.830803,0.189029,containers
0.712906,0.043609,0,0.143302,0.583929,0,0.885688,0,0,0.980375,0.246864,0.316118,0.998464,0.185448,'build wind non-float'
