@relation iris-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.222222,0.208333,0.338983,0.416667,0.529478,0.071604,Iris-versicolor
0.305556,0.791667,0.118644,0.125,0.454159,0.585665,Iris-setosa
0.25,0.291667,0.491525,0.541667,0.081422,0.901184,Iris-versicolor
0.416667,0.833333,0.033898,0.041667,0.634091,0.85339,Iris-setosa
0.555556,0.208333,0.677966,0.75,0.87165,0.102262,Iris-virginica
0.388889,0.75,0.118644,0.083333,0.366035,0.057471,Iris-setosa
0.194444,0.416667,0.101695,0.041667,0.828521,0.106998,Iris-setosa
0.666667,0.458333,0.779661,0.958333,0.265885,0.48164,Iris-virginica
0.055556,0.125,0.050847,0.083333,0.164478,0.126374,Iris-setosa
0.333333,0.166667,0.457627,0.375,0.886969,0.393492,Iris-versicolor
0.388889,1,0.084746,0.125,0.742088,0.499693,Iris-setosa
0.305556,0.583333,0.084746,0.125,0.804337,0.981495,Iris-setosa
0.416667,0.333333,0.694915,0.958333,0.148292,0.774931,Iris-virginica
0.25,0.583333,0.067797,0.041667,0.178833,0.674176,Iris-setosa
0.388889,0.416667,0.542373,0.458333,0.720432,0.380443,Iris-versicolor
0.555556,0.541667,0.847458,1,0.339898,0.930986,Iris-virginica
0.472222,0.583333,0.59322,0.625,0.459986,0.24559,Iris-versicolor
0.444444,0.5,0.644068,0.708333,0.446601,0.794537,Iris-versicolor
0.138889,0.458333,0.101695,0.041667,0.368603,0.881189,Iris-setosa
0.027778,0.416667,0.050847,0.041667,0.213127,0.850373,Iris-setosa
0.083333,0.583333,0.067797,0.083333,0.245883,0.240249,Iris-setosa
0,0.416667,0.016949,0,0.017964,0.753116,Iris-setosa
0.694444,0.5,0.830508,0.916667,0.399502,0.145275,Iris-virginica
0.583333,0.375,0.559322,0.5,0.455299,0.14677,Iris-versicolor
0.583333,0.5,0.59322,0.583333,0.035655,0.190508,Iris-versicolor
0.416667,0.291667,0.694915,0.75,0.532627,0.632171,Iris-virginica
0.333333,0.625,0.050847,0.041667,0.321422,0.805755,Iris-setosa
0.5,0.333333,0.627119,0.458333,0.270339,0.416018,Iris-versicolor
0.388889,0.208333,0.677966,0.791667,0.240558,0.603078,Iris-virginica
0.444444,0.416667,0.694915,0.708333,0.417072,0.413606,Iris-virginica
0.666667,0.416667,0.677966,0.666667,0.400311,0.218396,Iris-versicolor
0.166667,0.416667,0.067797,0.041667,0.35885,0.871324,Iris-setosa
0.472222,0.291667,0.694915,0.625,0.889292,0.607142,Iris-versicolor
0.138889,0.583333,0.101695,0.041667,0.070556,0.025201,Iris-setosa
0.722222,0.458333,0.694915,0.916667,0.135031,0.156424,Iris-virginica
