@relation labor-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute duration numeric
@attribute wage-increase-first-year numeric
@attribute wage-increase-second-year numeric
@attribute wage-increase-third-year numeric
@attribute cost-of-living-adjustment=none numeric
@attribute cost-of-living-adjustment=tcf numeric
@attribute cost-of-living-adjustment=tc numeric
@attribute working-hours numeric
@attribute pension=none numeric
@attribute pension=ret_allw numeric
@attribute pension=empl_contr numeric
@attribute standby-pay numeric
@attribute shift-differential numeric
@attribute education-allowance=no numeric
@attribute statutory-holidays numeric
@attribute vacation=below_average numeric
@attribute vacation=average numeric
@attribute vacation=generous numeric
@attribute longterm-disability-assistance=no numeric
@attribute contribution-to-dental-plan=none numeric
@attribute contribution-to-dental-plan=half numeric
@attribute contribution-to-dental-plan=full numeric
@attribute bereavement-assistance=no numeric
@attribute contribution-to-health-plan=none numeric
@attribute contribution-to-health-plan=half numeric
@attribute contribution-to-health-plan=full numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute NewNumeric6 numeric
@attribute NewNumeric7 numeric
@attribute NewNumeric8 numeric
@attribute NewNumeric9 numeric
@attribute NewNumeric10 numeric
@attribute NewNumeric11 numeric
@attribute NewNumeric12 numeric
@attribute class {bad,good}

@data
0.5,0.5,0.4,?,?,?,?,1,?,?,?,?,0.041667,1,0.166667,1,0,0,1,0,1,0,?,0,1,0,0.980409,0.284991,0.58027,0.64273,0.700012,0.993885,0.422483,0.46156,0.371809,0.400168,0.264448,0.188536,0.972395,bad
0.5,0.5,0.4,?,1,0,0,1,?,?,?,?,0.125,?,0.5,0,1,0,0,0,0,1,0,0,1,0,0.572474,0.992873,0.902369,0.41223,0.257805,0.46199,0.710518,0.654957,0.406692,0.671036,0.449496,0.20528,0.815866,good
0.5,0,0.1,?,?,?,?,0.615385,?,?,?,?,0.208333,0,0.5,0,1,0,?,?,?,?,?,?,?,?,0.462779,0.320612,0.032584,0.379954,0.407406,0.742768,0.917313,0.178218,0.449241,0.743282,0.724802,0.377656,0.739531,good
0.5,0.5,0.4,?,?,?,?,1,?,?,?,?,0.125,?,0.166667,0,0,1,?,0,1,0,?,0,0,1,0.636406,0.750237,0.581432,0.474037,0.395159,0.500783,0.049906,0.800403,0.993393,0.724667,0.725526,0.917721,0.917113,good
1,0,0.1,0.032258,0,0,1,1,1,0,0,0,0,1,0.166667,1,0,0,1,0,1,0,0,0,0,1,0.778134,0.234758,0.493143,0.353531,0.825785,0.050904,0.385484,0.26249,0.272647,0.885547,0.606978,0.738187,0.045589,bad
0.5,0.6,0.4,?,1,0,0,0.769231,?,?,?,?,0.166667,1,0.333333,1,0,0,0,0,0,1,0,0,0,1,0.437135,0.8678,0.068873,0.252502,0.490379,0.383942,0.579687,0.683838,0.231495,0.246161,0.005096,0.84277,0.330027,good
1,0.3,0.4,0.806452,0,1,0,0.615385,?,?,?,?,?,?,0.666667,0,0,1,?,?,?,?,0,0,0,1,0.059079,0.734106,0.977338,0.201905,0.722962,0.895872,0.599302,0.26255,0.178192,0.936547,0.599005,0.381488,0.27815,good
1,0.5,0.5,0.967742,1,0,0,1,?,?,?,?,?,1,0.333333,0,1,0,?,0,1,0,?,?,?,?,0.16023,0.817258,0.899656,0.402309,0.035134,0.849822,0.739642,0.74766,0.897884,0.242298,0.156506,0.403646,0.629738,good
0.5,0.1,0.1,?,0,0,1,0.923077,0,0,1,?,?,?,0.5,0,1,0,?,?,?,?,0,?,?,?,0.573015,0.542132,0.180656,0.150658,0.336638,0.572112,0.861094,0.554893,0.208716,0.738001,0.376818,0.790006,0.35004,bad
0,0.16,?,?,?,?,?,0.615385,?,?,?,?,0.041667,?,0.5,1,0,0,?,?,?,?,?,?,?,?,0.6677,0.090705,0.285062,0.491695,0.684694,0.670228,0.573067,0.864254,0.461388,0.343533,0.613175,0.983931,0.639866,good
0.5,1,0.66,?,?,?,?,?,?,?,?,?,?,?,0.333333,?,?,?,0,0,0,1,?,?,?,?,0.903821,0.636174,0.02663,0.136607,0.628822,0.67612,0.617172,0.284102,0.513755,0.854899,0.613809,0.983348,0.216197,good
0.5,0.5,0.5,?,0,1,0,?,?,?,?,?,?,0,0.166667,1,0,0,0,1,0,0,?,0,1,0,0.294469,0.202113,0.686244,0.722553,0.045111,0.30863,0.194261,0.751437,0.071239,0.580565,0.721739,0.208335,0.896976,good
0.5,0.3,0.4,?,1,0,0,1,?,?,?,?,0.041667,1,0.166667,1,0,0,1,0,1,0,?,0,1,0,0.478669,0.770467,0.707418,0.745335,0.752585,0.207583,0.195887,0.854739,0.273975,0.153607,0.048948,0.273212,0.032799,bad
0.5,0.1,0.2,?,?,?,?,1,1,0,0,?,?,?,0.333333,1,0,0,?,?,?,?,?,?,?,?,0.017174,0.915241,0.804676,0.364969,0.729817,0.721081,0.11191,0.56779,0.176081,0.551007,0.7131,0.628395,0.849622,bad
