@relation planning-weka.filters.unsupervised.attribute.NumericToNominal-R13-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute '  Delta' numeric
@attribute ' Theta' numeric
@attribute ' Alpha' numeric
@attribute ' Beta' numeric
@attribute ' Gamma' numeric
@attribute ' C3' numeric
@attribute ' C4' numeric
@attribute ' P3' numeric
@attribute ' P4' numeric
@attribute ' F3' numeric
@attribute ' F4' numeric
@attribute ' T3' numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute ' T4' {1,2}

@data
0.464536,0.757135,0.680691,0.730497,0.382904,0.797602,0.53547,0.144544,0.661502,0.795583,0.209994,0.701894,0.126277,0.732583,0.154406,0.386198,0.185056,0.100105,1
0.583751,0.484399,0.687105,0.653549,0.63359,0.49946,0.556994,0.604522,0.457262,0.388038,0.634735,0.537004,0.086799,0.23048,0.206277,0.307228,0.579773,0.274213,2
0.799516,0.438092,0.66649,0.660226,0.581152,0.489218,0.65532,0.751631,0.588895,0.362694,0.64437,0.404321,0.699367,0.913222,0.172832,0.545063,0.357473,0.970378,1
0.907945,0.652721,0.48489,0.558768,0.335255,0.621699,0.918963,0.442484,0.73669,0.668924,0.325754,0.480283,0.36516,0.006353,0.282736,0.990303,0.517302,0.784414,1
0.762091,0.655898,0.691338,0.551701,0.597093,0.601312,0.851875,0.147238,0.606642,0.70127,0.31084,0.646481,0.564393,0.011922,0.390951,0.710327,0.689263,0.526336,1
0.852883,0.469405,0.400413,0.578993,0.356524,0.486554,0.694236,0.998868,0.728533,0.498648,0.505533,0.405184,0.416537,0.232193,0.986394,0.706157,0.201879,0.831428,1
0.76936,0.441513,0.528649,0.510645,0.568176,0.404187,0.751905,0.689899,0.619868,0.33891,0.671797,0.303544,0.229184,0.625915,0.690546,0.697945,0.556061,0.387714,1
0.523423,0.417752,0.357426,0.543486,0.318193,0.499197,0.386552,0.670854,0.356532,0.478006,0.572391,0.73538,0.450089,0.150969,0.207848,0.979399,0.151179,0.399457,1
0.677154,0.46332,0.174109,0.289731,0.306435,0.406797,0.665783,0.524773,0.573541,0.261989,0.746719,0.300201,0.617856,0.547265,0.046622,0.562101,0.656838,0.472399,1
1,0.538498,0.395494,0.546829,0.356062,0.506737,0.925194,0.501219,0.489262,0.048056,0.958598,0.198575,0.414301,0.732727,0.256948,0.44676,0.393726,0.358954,1
0.769525,0.582278,0.165025,0.316627,0.092511,0.597004,0.692644,0.478139,0.883043,0.907152,0.122437,0.458719,0.182438,0.479492,0.027929,0.563382,0.499517,0.640772,1
0.862311,0.47877,0.445074,0.51941,0.337031,0.538038,0.733708,0.514237,0.751741,0.772459,0.236322,0.538689,0.199431,0.772852,0.084294,0.728723,0.516194,0.761457,2
0.434683,0.61645,0.71222,0.634251,0.499775,0.706662,0.390034,0.270187,0.769976,0.589633,0.40954,0.369456,0.22927,0.557278,0.238505,0.499408,0.5824,0.022864,1
0.575302,0.477291,0.965047,0.621814,0.917332,0.502362,0.570781,0.413614,0.847121,0.821257,0.186327,0.453783,0.055195,0.37654,0.241332,0.534084,0.372336,0.502402,1
0.500603,0.816375,0.726372,0.675372,0.417211,0.849308,0.534519,0.237191,0.7917,0.551723,0.446257,0.277434,0.671322,0.512484,0.767339,0.608825,0.749178,0.974096,2
0.988153,0.499546,0.026771,0.164786,0.140964,0.413054,0.942467,0.75214,0.683778,0.614236,0.400612,0.479165,0.94511,0.522789,0.242368,0.706876,0.238415,0.069654,1
0.706699,0.522868,0.311708,0.298045,0.374221,0.492465,0.740106,0.241169,0.545134,0.370791,0.602957,0.245152,0.930286,0.834597,0.522839,0.186319,0.551706,0.204,1
0.627196,0.759669,0.831113,0.714288,0.539456,0.789281,0.617787,0.474781,0.342323,0.5297,0.515638,0.796208,0.680959,0.140507,0.660726,0.336228,0.665854,0.42852,2
