@relation titanic-train-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute passengerId numeric
@attribute pclass=1 numeric
@attribute pclass=2 numeric
@attribute pclass=3 numeric
@attribute sex=female numeric
@attribute age numeric
@attribute sibsp numeric
@attribute parch numeric
@attribute fare numeric
@attribute embarked=C numeric
@attribute embarked=Q numeric
@attribute embarked=S numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute survival {0,1}

@data
0,0,0,1,0,0.271174,0.125,0,0.014151,0,0,1,0.006117,0.967756,0.332717,0.207715,0.410081,0.730878,0
0.001124,1,0,0,1,0.472229,0.125,0,0.139136,1,0,0,0.347518,0.397174,0.937082,0.947195,0.939865,0.963705,1
0.002247,0,0,1,1,0.321438,0,0,0.015469,0,0,1,0.156747,0.659893,0.770536,0.115967,0.506484,0.294057,1
0.003371,1,0,0,1,0.434531,0.125,0,0.103644,0,0,1,0.523135,0.005025,0.805228,0.694948,0.139763,0.378202,1
0.004494,0,0,1,0,0.434531,0,0,0.015713,0,0,1,0.204914,0.5771,0.544555,0.481728,0.142023,0.743984,0
0.005618,0,0,1,0,?,0,0,0.01651,0,1,0,0.540397,0.178055,0.161043,0.010684,0.184707,0.623364,0
0.006742,1,0,0,0,0.673285,0,0,0.101229,0,0,1,0.233156,0.432007,0.217602,0.394521,0.245427,0.973834,0
0.007865,0,0,1,0,0.019854,0.375,0.166667,0.041136,0,0,1,0.652477,0.119839,0.655174,0.592379,0.038327,0.889909,0
0.008989,0,0,1,1,0.334004,0,0.333333,0.021731,0,0,1,0.443212,0.33361,0.46335,0.37465,0.206738,0.984323,1
0.010112,0,1,0,1,0.170646,0.125,0,0.058694,1,0,0,0.491451,0.50766,0.909584,0.630405,0.998981,0.504136,1
0.011236,0,0,1,1,0.044986,0.125,0.166667,0.032596,0,0,1,0.172649,0.209493,0.962415,0.717322,0.308093,0.428784,1
0.01236,1,0,0,1,0.723549,0,0,0.051822,0,0,1,0.204636,0.699007,0.789191,0.587816,0.555468,0.548953,1
0.013483,0,0,1,0,0.246042,0,0,0.015713,0,0,1,0.836315,0.803619,0.983103,0.225022,0.777916,0.254909,0
0.014607,0,0,1,0,0.484795,0.125,0.833333,0.061045,0,0,1,0.880357,0.207978,0.63119,0.00876,0.637497,0.163104,0
0.01573,0,0,1,1,0.170646,0,0,0.01533,0,0,1,0.710575,0.153246,0.987102,0.509493,0.723372,0.707044,0
0.016854,0,1,0,1,0.685851,0,0,0.03123,0,0,1,0.617146,0.09975,0.481862,0.616951,0.123671,0.823981,1
0.017978,0,0,1,0,0.019854,0.5,0.166667,0.056848,0,1,0,0.280002,0.679935,0.074048,0.073026,0.591439,0.02812,0
0.019101,0,1,0,0,?,0,0,0.025374,0,0,1,0.876443,0.292093,0.598632,0.353823,0.849641,0.603984,1
0.020225,0,0,1,1,0.384267,0.125,0,0.035134,0,0,1,0.886744,0.729824,0.271293,0.375808,0.423233,0.74425,0
0.021348,0,0,1,1,?,0,0,0.014102,1,0,0,0.76382,0.062488,0.901924,0.86245,0.4577,0.043703,1
