@relation vote-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute handicapped-infants=y numeric
@attribute water-project-cost-sharing=y numeric
@attribute adoption-of-the-budget-resolution=y numeric
@attribute physician-fee-freeze=y numeric
@attribute el-salvador-aid=y numeric
@attribute religious-groups-in-schools=y numeric
@attribute anti-satellite-test-ban=y numeric
@attribute aid-to-nicaraguan-contras=y numeric
@attribute mx-missile=y numeric
@attribute immigration=y numeric
@attribute synfuels-corporation-cutback=y numeric
@attribute education-spending=y numeric
@attribute superfund-right-to-sue=y numeric
@attribute crime=y numeric
@attribute duty-free-exports=y numeric
@attribute export-administration-act-south-africa=y numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute NewNumeric6 numeric
@attribute NewNumeric7 numeric
@attribute Class {democrat,republican}

@data
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0.246362,0.096889,0.488284,0.935824,0.380801,0.874159,0.450006,0.399343,democrat
0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0.570531,0.886511,0.613404,0.336721,0.0341,0.231387,0.061064,0.576326,republican
1,0,1,0,0,0,1,1,?,1,1,1,0,1,0,1,0.66876,0.074816,0.541858,0.611688,0.083666,0.180849,0.500761,0.188754,democrat
1,0,1,0,0,0,1,1,?,0,0,0,0,0,0,?,0.039359,0.27213,0.300879,0.081166,0.818441,0.444981,0.990973,0.735464,democrat
0,0,1,0,0,1,1,1,1,1,1,0,0,0,?,1,0.075854,0.869427,0.862566,0.176657,0.871417,0.350676,0.138524,0.862545,democrat
0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0.808339,0.882884,0.920558,0.540453,0.36489,0.062357,0.075237,0.182144,democrat
1,?,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0.914174,0.512611,0.282739,0.819026,0.971543,0.316336,0.516744,0.978313,republican
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.142573,0.77883,0.712004,0.700871,0.410897,0.394732,0.947091,0.725645,republican
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.547588,0.848794,0.297113,0.99957,0.150657,0.327239,0.386172,0.596509,democrat
0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0.174045,0.917722,0.685664,0.832866,0.332479,0.559008,0.447011,0.382642,republican
