family,product-type,steel,carbon,hardness,temper_rolling,condition,formability,strength,non-ageing,surface-finish,surface-quality,enamelability,bc,bf,bt,bw/me,bl,m,chrom,phos,cbond,marvi,exptl,ferro,corr,blue/bright/varn/clean,lustre,jurofm,s,p,shape,thick,width,len,oil,bore,packing
?,1024,2050,3072,4096,?,6145,7170,8192,?,?,11266,?,?,?,?,16385,?,?,?,?,?,?,?,?,?,?,?,?,?,?,31744,32770,33792,34816,?,36864,?
?,1024,2049,3072,4096,?,6145,7170,8192,?,?,11266,?,?,?,?,?,17409,?,?,?,?,?,?,?,?,?,?,?,?,?,31744,32774,33794,34816,?,36864,?
?,1024,2049,3072,4096,?,6145,7170,8192,?,?,11266,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,31744,32772,33792,34816,?,36864,?
?,1024,2054,3072,4096,?,?,?,8193,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,31744,32771,33792,34816,?,36864,?
?,1024,?,3072,4096,?,6145,7169,8192,?,?,11268,?,?,?,?,16385,17409,?,?,?,?,?,?,?,?,?,?,?,?,?,31745,32768,33792,34824,35841,36864,?
?,1024,2049,3072,4096,?,6145,7170,8192,?,?,11266,?,?,14337,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,31745,32770,33792,34817,?,36864,?
?,1024,2050,3072,4096,?,?,?,8194,?,?,11268,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,31744,32773,33794,34816,?,36864,?
4,1024,?,3072,4096,?,6146,7169,8192,?,?,?,?,?,?,?,?,?,?,?,20481,?,?,?,?,?,?,?,?,?,?,31744,32773,33793,34816,?,36864,?
?,1024,2049,3072,4096,?,6145,7170,8192,?,?,11266,?,?,14337,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,31745,32768,33794,34817,35841,36864,?
?,1024,2050,3072,4097,5121,?,?,8192,?,?,11268,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,31744,32771,33792,34816,?,36864,?
?,1024,?,3072,4096,?,6145,7169,8192,?,?,11268,?,?,?,?,?,?,?,?,?,21505,?,?,?,?,?,?,?,?,?,31745,32768,33792,34817,?,36864,?
?,1024,?,3072,4096,?,6145,7169,8192,?,?,11268,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,31745,32770,33792,34817,?,36864,?
?,1024,2050,3072,4096,?,6145,7170,8192,?,?,11266,?,?,?,?,?,?,?,?,?,21505,?,?,?,?,?,?,?,?,?,31744,32773,33792,34816,?,36864,37890
?,1024,2050,3072,4097,5121,?,?,8192,?,?,11268,?,?,?,?,16386,?,?,?,?,?,?,?,?,?,?,?,?,?,?,31744,32774,33792,34816,?,36864,?
?,1024,2050,3072,4096,?,6145,7170,8192,?,?,11268,?,?,14337,?,16385,17409,?,?,?,?,?,?,?,?,?,?,?,?,?,31745,32770,33792,34817,?,36864,?
?,1024,2052,3073,4096,?,?,?,8192,?,?,?,?,?,?,15361,16386,?,?,?,?,?,?,?,?,?,?,?,?,?,?,31744,32774,33792,34816,?,36865,?
