@relation dataForPattern-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute family {4,9}
@attribute product-type {1024}
@attribute steel {2049,2050,2052,2053,2054,2055,2056}
@attribute carbon {3072,3073}
@attribute hardness {4096,4097,4098}
@attribute temper_rolling {5121}
@attribute condition {6145,6146}
@attribute formability {7169,7170,7171,7173}
@attribute strength {8192,8193,8194,8195}
@attribute non-ageing {9217}
@attribute surface-finish {10241}
@attribute surface-quality {11265,11266,11267,11268}
@attribute enamelability {12289,12290}
@attribute bc {13313}
@attribute bf {14337}
@attribute bt {15361}
@attribute bw/me {16385,16386}
@attribute bl {17409}
@attribute m string
@attribute chrom {19457}
@attribute phos {20481}
@attribute cbond {21505}
@attribute marvi string
@attribute exptl {23553}
@attribute ferro {24577}
@attribute corr string
@attribute blue/bright/varn/clean {26625,26628}
@attribute lustre {27649}
@attribute jurofm string
@attribute s string
@attribute p string
@attribute shape {31744,31745}
@attribute thick {32768,32769,32770,32771,32772,32773,32774}
@attribute width {33792,33793,33794,33795}
@attribute len {34816,34817,34818,34822,34824,34825}
@attribute oil {35841,35842}
@attribute bore {36864,36865,36866}
@attribute packing {37890,37891}

@data
?,1024,2050,3072,4096,?,6145,7170,8192,?,?,11266,?,?,?,?,16385,?,?,?,?,?,?,?,?,?,?,?,?,?,?,31744,32770,33792,34816,?,36864,?
?,1024,2049,3072,4096,?,6145,7170,8192,?,?,11266,?,?,?,?,?,17409,?,?,?,?,?,?,?,?,?,?,?,?,?,31744,32774,33794,34816,?,36864,?
?,1024,2049,3072,4096,?,6145,7170,8192,?,?,11266,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,31744,32772,33792,34816,?,36864,?
?,1024,2054,3072,4096,?,?,?,8193,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,31744,32771,33792,34816,?,36864,?
?,1024,?,3072,4096,?,6145,7169,8192,?,?,11268,?,?,?,?,16385,17409,?,?,?,?,?,?,?,?,?,?,?,?,?,31745,32768,33792,34824,35841,36864,?
?,1024,2049,3072,4096,?,6145,7170,8192,?,?,11266,?,?,14337,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,31745,32770,33792,34817,?,36864,?
?,1024,2050,3072,4096,?,?,?,8194,?,?,11268,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,31744,32773,33794,34816,?,36864,?
4,1024,?,3072,4096,?,6146,7169,8192,?,?,?,?,?,?,?,?,?,?,?,20481,?,?,?,?,?,?,?,?,?,?,31744,32773,33793,34816,?,36864,?
?,1024,2049,3072,4096,?,6145,7170,8192,?,?,11266,?,?,14337,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,31745,32768,33794,34817,35841,36864,?
?,1024,2050,3072,4097,5121,?,?,8192,?,?,11268,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,31744,32771,33792,34816,?,36864,?
