@relation train-weka.filters.unsupervised.attribute.NumericToNominal-R24-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute var_0=a numeric
@attribute var_0=b numeric
@attribute var_0=c numeric
@attribute var_0=d numeric
@attribute var_1 numeric
@attribute var_2=b numeric
@attribute var_2=c numeric
@attribute var_2=d numeric
@attribute var_2=e numeric
@attribute var_2=f numeric
@attribute var_2=g numeric
@attribute var_2=h numeric
@attribute var_2=a numeric
@attribute var_3 numeric
@attribute var_4=c numeric
@attribute var_4=d numeric
@attribute var_4=e numeric
@attribute var_4=f numeric
@attribute var_4=g numeric
@attribute var_4=h numeric
@attribute var_4=a numeric
@attribute var_4=b numeric
@attribute var_5 numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute NewNumeric6 numeric
@attribute NewNumeric7 numeric
@attribute NewNumeric8 numeric
@attribute NewNumeric9 numeric
@attribute NewNumeric10 numeric
@attribute NewNumeric11 numeric
@attribute label {0,1}

@data
0,0,1,0,0.666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.428571,0.613912,0.448862,0.574813,0.21535,0.265591,0.197268,0.087667,0.765838,0.441742,0.338627,0.088615,0.686185,1
0,0,1,0,0.666667,0,0,0,0,0,1,0,0,0.857143,0,0,0,1,0,0,0,0,0.428571,0.569606,0.926907,0.373416,0.938724,0.842292,0.545149,0.434032,0.171651,0.637519,0.863958,0.415447,0.746624,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0.749084,0.812376,0.614021,0.91632,0.484754,0.345373,0.858759,0.65743,0.036836,0.400006,0.482517,0.888029,1
0,0,1,0,0,0,0,1,0,0,0,0,0,0.857143,0,0,0,1,0,0,0,0,0.142857,0.040651,0.464857,0.758663,0.009819,0.978584,0.926131,0.635569,0.646707,0.750281,0.68301,0.781469,0.008766,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0.285714,0,0,0,0,0,0,1,0,0,0.494033,0.561381,0.08287,0.889668,0.882147,0.407185,0.985971,0.272372,0.72962,0.255415,0.754904,0.980699,1
0,0,0,1,0.666667,0,0,0,0,0,0,1,0,0.428571,0,0,0,0,0,1,0,0,0.714286,0.780674,0.489915,0.489943,0.953655,0.085898,0.974825,0.76405,0.940976,0.180276,0.289741,0.27425,0.706855,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0.571429,0,0,0,1,0,0,0,0,0,0.746895,0.359019,0.270698,0.556158,0.364314,0.448367,0.887334,0.498814,0.50386,0.00927,0.5989,0.123724,1
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.142857,0.749337,0.439318,0.576681,0.047791,0.759287,0.626718,0.540559,0.906749,0.227769,0.585645,0.07099,0.681144,1
0,0,1,0,0.333333,0,0,1,0,0,0,0,0,0.857143,0,0,0,0,0,0,1,0,0.285714,0.826369,0.146373,0.411044,0.215998,0.591799,0.041162,0.30904,0.765282,0.930589,0.374944,0.023817,0.611002,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0.428571,0,0,0,0,1,0,0,0,0.714286,0.342149,0.437247,0.696114,0.776707,0.075503,0.347037,0.246994,0.434723,0.942586,0.803933,0.324262,0.043085,1
0,0,1,0,0,0,0,0,0,0,0,0,1,0.285714,0,0,0,1,0,0,0,0,0.714286,0.54179,0.724474,0.450356,0.595476,0.9013,0.662109,0.453539,0.867372,0.589807,0.137213,0.630751,0.742202,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.428571,0.476568,0.111377,0.299788,0.31365,0.776298,0.703429,0.015209,0.609449,0.958313,0.743618,0.828134,0.925306,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.285714,0.997404,0.921589,0.460053,0.020843,0.733509,0.587145,0.178754,0.740056,0.581845,0.33669,0.199516,0.270634,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0.285714,0,0,1,0,0,0,0,0,0.142857,0.972829,0.133353,0.955226,0.54965,0.080441,0.637184,0.341562,0.792832,0.101711,0.989259,0.712445,0.85297,1
0,1,0,0,0,0,1,0,0,0,0,0,0,0.571429,0,0,0,0,0,1,0,0,0.285714,0.56441,0.435607,0.18807,0.871805,0.125205,0.498914,0.889489,0.95295,0.811968,0.516082,0.333016,0.329949,1
0,0,1,0,0.333333,0,0,0,0,1,0,0,0,0.142857,1,0,0,0,0,0,0,0,0.571429,0.28812,0.198055,0.043853,0.947068,0.308051,0.272849,0.072961,0.038011,0.085928,0.081201,0.536295,0.263893,1
0,0,1,0,0,0,0,0,0,0,0,1,0,0.857143,0,0,0,0,0,0,0,1,0.714286,0.704402,0.691387,0.495941,0.21696,0.074228,0.271144,0.992131,0.955889,0.981848,0.618127,0.155143,0.991997,1
0,0,1,0,0.333333,0,0,1,0,0,0,0,0,0.714286,0,0,0,1,0,0,0,0,0.857143,0.91267,0.406483,0.186286,0.745008,0.750847,0.35608,0.360496,0.485958,0.846107,0.851156,0.40187,0.954735,1
0,0,0,1,0.666667,0,0,0,0,0,0,1,0,0.428571,0,0,0,0,0,0,0,1,0.428571,0.577765,0.302899,0.677559,0.783521,0.835901,0.644934,0.033744,0.35215,0.471461,0.37504,0.308296,0.858197,1
0,1,0,0,0.333333,0,0,0,0,0,0,1,0,0.714286,0,0,0,0,1,0,0,0,0.142857,0.986367,0.267117,0.01606,0.293941,0.471894,0.659569,0.326767,0.647162,0.325984,0.387983,0.959681,0.480628,1
0,0,1,0,0.333333,0,1,0,0,0,0,0,0,0.285714,0,0,0,0,0,1,0,0,0.142857,0.620655,0.980005,0.905658,0.663679,0.4595,0.761784,0.896636,0.726666,0.545028,0.279323,0.746613,0.336756,1
0,0,0,1,0.666667,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.714286,0.944484,0.780586,0.172914,0.546885,0.968455,0.946895,0.442968,0.720712,0.774071,0.348492,0.426319,0.785579,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.571429,0.524125,0.96973,0.302159,0.409935,0.123384,0.768229,0.669509,0.80658,0.564582,0.47578,0.071021,0.508088,1
0,1,0,0,0.333333,0,0,1,0,0,0,0,0,0.428571,0,0,0,0,1,0,0,0,0.142857,0.251115,0.322494,0.6367,0.984484,0.881529,0.334144,0.86187,0.353154,0.858006,0.578121,0.985811,0.590986,1
0,0,0,1,0.666667,0,0,0,0,0,0,0,1,0.142857,0,0,0,0,0,1,0,0,0,0.299018,0.371858,0.378429,0.421759,0.077344,0.9569,0.066272,0.981477,0.144766,0.164572,0.402178,0.730768,1
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.571429,0.528916,0.289247,0.773031,0.501328,0.185679,0.139131,0.202741,0.489437,0.155682,0.25634,0.195681,0.319618,1
0,1,0,0,0,1,0,0,0,0,0,0,0,0.428571,0,0,0,0,1,0,0,0,0.428571,0.360198,0.9187,0.841583,0.77591,0.250802,0.158877,0.513618,0.460639,0.432432,0.355173,0.037417,0.390373,1
0,0,0,1,0.333333,1,0,0,0,0,0,0,0,0.142857,0,0,0,0,0,0,0,1,0.428571,0.643728,0.721728,0.711751,0.030859,0.542736,0.558084,0.534352,0.218311,0.831738,0.031611,0.268796,0.582401,1
0,0,0,1,0.333333,1,0,0,0,0,0,0,0,0.714286,0,0,0,0,0,0,1,0,0,0.813727,0.058877,0.012899,0.902767,0.835424,0.352159,0.278458,0.59467,0.944669,0.061052,0.38778,0.443545,1
0,0,0,1,1,1,0,0,0,0,0,0,0,0.571429,0,0,0,0,1,0,0,0,0.571429,0.552708,0.371652,0.929324,0.936215,0.752975,0.759623,0.552114,0.764513,0.558005,0.860762,0.352115,0.50535,1
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.571429,0.380582,0.434971,0.354454,0.761011,0.400759,0.701109,0.2563,0.138829,0.648823,0.274941,0.941238,0.659633,1
0,1,0,0,0,0,1,0,0,0,0,0,0,0.428571,0,0,0,0,0,0,1,0,0.428571,0.974525,0.92546,0.156236,0.444332,0.487369,0.235874,0.195473,0.030091,0.986505,0.517603,0.173399,0.423998,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0.142857,0,0,0,0,0,1,0,0,0.571429,0.640491,0.094868,0.850064,0.412998,0.351494,0.491711,0.291681,0.485424,0.218117,0.314519,0.248183,0.712242,1
0,1,0,0,0.333333,0,0,0,0,0,0,1,0,0.857143,0,0,0,1,0,0,0,0,0.142857,0.19024,0.350584,0.980499,0.650682,0.734484,0.500579,0.201646,0.337194,0.333594,0.985641,0.677011,0.722657,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0.571429,0,0,0,1,0,0,0,0,0,0.529505,0.026655,0.23663,0.153183,0.784907,0.677479,0.151723,0.142598,0.64647,0.378368,0.175298,0.523045,1
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.428571,0.533461,0.578935,0.768361,0.871958,0.645649,0.474023,0.341782,0.274696,0.883846,0.199737,0.519877,0.845862,1
0,0,1,0,0.333333,0,0,0,0,0,0,1,0,0.142857,0,0,0,1,0,0,0,0,0.714286,0.274874,0.856909,0.331979,0.591915,0.057132,0.000874,0.523933,0.986863,0.656092,0.402033,0.923885,0.51019,1
0,0,1,0,0.333333,0,0,1,0,0,0,0,0,0.714286,0,0,0,0,0,0,1,0,0.714286,0.378349,0.992451,0.773305,0.374072,0.711957,0.144644,0.335664,0.800975,0.472264,0.851534,0.548714,0.759338,1
0,0,0,1,0.666667,0,0,0,0,0,0,0,1,0.714286,0,0,0,0,0,1,0,0,0.857143,0.200842,0.802217,0.955299,0.346966,0.616812,0.905061,0.65932,0.066717,0.581465,0.554038,0.558764,0.643666,1
0,1,0,0,0.333333,1,0,0,0,0,0,0,0,0.428571,0,0,0,0,0,1,0,0,0,0.684096,0.425553,0.554436,0.752802,0.456721,0.347149,0.691018,0.005203,0.253427,0.22352,0.629608,0.387834,1
0,0,1,0,0.333333,0,0,1,0,0,0,0,0,0.571429,0,0,0,0,1,0,0,0,0.142857,0.088948,0.213777,0.18625,0.245131,0.914744,0.700852,0.531931,0.984694,0.663294,0.961705,0.043812,0.459944,1
0,0,0,1,0.333333,0,0,1,0,0,0,0,0,0.285714,0,0,0,0,1,0,0,0,0,0.404439,0.649348,0.075351,0.494425,0.076959,0.747,0.963551,0.179491,0.316147,0.266557,0.451046,0.807171,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.285714,0.026415,0.304921,0.958863,0.186237,0.448108,0.703686,0.6359,0.135186,0.936026,0.506603,0.030252,0.438259,1
0,0,1,0,0.333333,1,0,0,0,0,0,0,0,0.857143,0,0,1,0,0,0,0,0,0.714286,0.320835,0.552437,0.104579,0.493694,0.717508,0.371093,0.183787,0.104227,0.952245,0.385724,0.171493,0.217841,1
0,0,0,1,0.333333,0,0,0,0,1,0,0,0,0.285714,0,0,0,0,0,1,0,0,0.714286,0.926241,0.901404,0.236303,0.071916,0.247864,0.305478,0.791109,0.325383,0.14253,0.779492,0.893792,0.390871,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0.714286,0,0,1,0,0,0,0,0,0.428571,0.107861,0.483145,0.788696,0.55649,0.311361,0.274494,0.446814,0.698951,0.638035,0.649311,0.032598,0.977509,1
0,0,0,1,1,0,0,1,0,0,0,0,0,0.571429,0,0,0,0,0,1,0,0,0.571429,0.152572,0.304303,0.262601,0.45148,0.36793,0.196197,0.578535,0.556675,0.359532,0.534588,0.766682,0.76964,1
0,0,0,1,0,0,0,0,0,0,0,1,0,0.571429,0,0,0,0,0,0,1,0,0.428571,0.689457,0.468046,0.519195,0.164503,0.16983,0.183062,0.911022,0.44112,0.037104,0.385824,0.309142,0.219755,1
0,0,0,1,0.666667,0,0,0,1,0,0,0,0,0.142857,0,0,0,0,0,0,1,0,0.857143,0.934953,0.60537,0.637443,0.787236,0.184717,0.199995,0.276405,0.993857,0.267393,0.233007,0.560815,0.041271,1
0,0,1,0,0.333333,0,0,0,1,0,0,0,0,0.285714,0,0,0,0,0,0,1,0,0,0.194586,0.271608,0.464222,0.029275,0.756103,0.201802,0.701935,0.205094,0.582995,0.383825,0.216804,0.836404,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0.142857,0,0,0,0,1,0,0,0,0.857143,0.505053,0.044678,0.210114,0.491598,0.565625,0.440751,0.418231,0.399489,0.247837,0.51522,0.227934,0.533565,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.857143,0.070921,0.511806,0.386246,0.212958,0.325821,0.928809,0.467224,0.423696,0.450374,0.159462,0.648845,0.850785,1
0,1,0,0,0.333333,0,0,0,0,0,0,0,1,0.571429,0,0,1,0,0,0,0,0,0,0.13946,0.250417,0.038685,0.138326,0.215084,0.801863,0.343822,0.56074,0.743212,0.692372,0.753069,0.405023,1
0,0,1,0,0,0,0,0,0,0,1,0,0,0.285714,0,0,1,0,0,0,0,0,0,0.165146,0.296554,0.61679,0.843125,0.368245,0.564619,0.579001,0.724685,0.973276,0.006539,0.862807,0.459265,1
0,0,0,1,0.333333,0,0,0,1,0,0,0,0,0.714286,0,0,0,0,0,0,0,1,0.285714,0.54213,0.450669,0.910546,0.500247,0.756748,0.895135,0.364381,0.486075,0.560872,0.596298,0.627271,0.640145,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0.857143,0,0,0,0,0,1,0,0,0.714286,0.828456,0.095785,0.309289,0.698985,0.031615,0.856839,0.229483,0.44449,0.819036,0.793944,0.488317,0.268399,1
0,0,0,1,0.333333,0,0,0,0,1,0,0,0,0.142857,0,0,0,0,0,0,1,0,0.428571,0.250097,0.997008,0.170369,0.315791,0.360427,0.003601,0.412763,0.399118,0.056296,0.378095,0.795758,0.222768,1
0,1,0,0,0,0,0,0,0,0,0,0,1,0.714286,1,0,0,0,0,0,0,0,0.428571,0.355869,0.814037,0.341178,0.196333,0.9663,0.96988,0.916121,0.671541,0.476484,0.725318,0.477091,0.505045,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0.285714,0,1,0,0,0,0,0,0,0.285714,0.996031,0.789781,0.851598,0.9367,0.97234,0.713131,0.299998,0.807045,0.378514,0.09508,0.327551,0.88979,1
0,0,0,1,0,0,0,0,0,1,0,0,0,0.714286,0,0,0,0,0,0,1,0,0.857143,0.317926,0.278385,0.486312,0.548592,0.269318,0.619646,0.062286,0.72155,0.867005,0.525768,0.86623,0.226779,1
0,0,1,0,0,0,0,0,0,0,0,1,0,0.285714,0,0,0,1,0,0,0,0,0.571429,0.211227,0.444902,0.357562,0.259237,0.457313,0.197661,0.949165,0.170837,0.211447,0.175982,0.302703,0.117617,1
0,1,0,0,0,0,0,0,0,0,0,1,0,0.714286,0,0,0,0,0,1,0,0,1,0.593385,0.606558,0.728796,0.131281,0.463842,0.06302,0.769614,0.197082,0.137054,0.770496,0.475906,0.809964,1
0,0,1,0,0.666667,0,0,0,0,0,0,0,1,0.857143,0,0,0,0,0,1,0,0,0.714286,0.102649,0.291998,0.188307,0.591252,0.211481,0.372896,0.227727,0.954749,0.694751,0.104216,0.663216,0.243687,1
