@relation train-weka.filters.unsupervised.attribute.NumericToNominal-R24-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute var_0=a numeric
@attribute var_0=b numeric
@attribute var_0=c numeric
@attribute var_0=d numeric
@attribute var_1 numeric
@attribute var_2=b numeric
@attribute var_2=c numeric
@attribute var_2=d numeric
@attribute var_2=e numeric
@attribute var_2=f numeric
@attribute var_2=g numeric
@attribute var_2=h numeric
@attribute var_2=a numeric
@attribute var_3 numeric
@attribute var_4=c numeric
@attribute var_4=d numeric
@attribute var_4=e numeric
@attribute var_4=f numeric
@attribute var_4=g numeric
@attribute var_4=h numeric
@attribute var_4=a numeric
@attribute var_4=b numeric
@attribute var_5 numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute NewNumeric6 numeric
@attribute label {0,1}

@data
0,0,1,0,0.666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.428571,0.448201,0.047345,0.921844,0.535259,0.303309,0.819592,0.411417,1
0,0,1,0,0.666667,0,0,0,0,0,1,0,0,0.857143,0,0,0,1,0,0,0,0,0.428571,0.315542,0.669895,0.165645,0.68239,0.430707,0.768616,0.421019,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0.909534,0.864363,0.927668,0.908845,0.743715,0.589341,0.124551,1
0,0,1,0,0,0,0,1,0,0,0,0,0,0.857143,0,0,0,1,0,0,0,0,0.142857,0.554338,0.694996,0.424527,0.709916,0.798457,0.741827,0.348168,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0.285714,0,0,0,0,0,0,1,0,0,0.787929,0.25753,0.131187,0.26847,0.682967,0.587597,0.137947,1
0,0,0,1,0.666667,0,0,0,0,0,0,1,0,0.428571,0,0,0,0,0,1,0,0,0.714286,0.48479,0.440943,0.869203,0.329759,0.269459,0.62439,0.506078,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0.571429,0,0,0,1,0,0,0,0,0,0.291643,0.299654,0.68467,0.217622,0.846892,0.360721,0.394882,1
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.142857,0.883967,0.4173,0.797681,0.715869,0.681721,0.178642,0.145155,1
0,0,1,0,0.333333,0,0,1,0,0,0,0,0,0.857143,0,0,0,0,0,0,1,0,0.285714,0.917483,0.329731,0.854212,0.52343,0.175271,0.556802,0.819818,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0.428571,0,0,0,0,1,0,0,0,0.714286,0.511223,0.45335,0.754869,0.709419,0.713074,0.821083,0.097202,1
0,0,1,0,0,0,0,0,0,0,0,0,1,0.285714,0,0,0,1,0,0,0,0,0.714286,0.47484,0.126977,0.7831,0.932532,0.979647,0.184183,0.187082,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.428571,0.321597,0.644932,0.189002,0.546866,0.484703,0.652493,0.650657,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.285714,0.496907,0.797393,0.11335,0.328378,0.229891,0.762923,0.217008,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0.285714,0,0,1,0,0,0,0,0,0.142857,0.381067,0.369182,0.612413,0.225265,0.827045,0.516172,0.470506,1
0,1,0,0,0,0,1,0,0,0,0,0,0,0.571429,0,0,0,0,0,1,0,0,0.285714,0.996756,0.425581,0.901255,0.757126,0.101974,0.88275,0.54569,1
0,0,1,0,0.333333,0,0,0,0,1,0,0,0,0.142857,1,0,0,0,0,0,0,0,0.571429,0.331679,0.792828,0.887273,0.876367,0.968579,0.855499,0.296557,1
0,0,1,0,0,0,0,0,0,0,0,1,0,0.857143,0,0,0,0,0,0,0,1,0.714286,0.103831,0.021271,0.135769,0.59825,0.709595,0.941387,0.090785,1
0,0,1,0,0.333333,0,0,1,0,0,0,0,0,0.714286,0,0,0,1,0,0,0,0,0.857143,0.347808,0.005927,0.383995,0.4374,0.620804,0.74999,0.175756,1
0,0,0,1,0.666667,0,0,0,0,0,0,1,0,0.428571,0,0,0,0,0,0,0,1,0.428571,0.609024,0.623424,0.914288,0.899184,0.735023,0.526387,0.766443,1
0,1,0,0,0.333333,0,0,0,0,0,0,1,0,0.714286,0,0,0,0,1,0,0,0,0.142857,0.892642,0.191082,0.611897,0.337135,0.117272,0.995562,0.772011,1
0,0,1,0,0.333333,0,1,0,0,0,0,0,0,0.285714,0,0,0,0,0,1,0,0,0.142857,0.960266,0.963424,0.852139,0.901448,0.420157,0.46409,0.732551,1
0,0,0,1,0.666667,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.714286,0.387488,0.30418,0.581396,0.123619,0.675864,0.019482,0.527375,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.571429,0.313861,0.728309,0.175134,0.125948,0.949281,0.480374,0.815978,1
0,1,0,0,0.333333,0,0,1,0,0,0,0,0,0.428571,0,0,0,0,1,0,0,0,0.142857,0.853828,0.484123,0.504393,0.129276,0.293377,0.514783,0.094995,1
0,0,0,1,0.666667,0,0,0,0,0,0,0,1,0.142857,0,0,0,0,0,1,0,0,0,0.059766,0.897547,0.665922,0.171926,0.694276,0.485563,0.255245,1
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.571429,0.183924,0.635496,0.4013,0.75654,0.848411,0.096267,0.047499,1
0,1,0,0,0,1,0,0,0,0,0,0,0,0.428571,0,0,0,0,1,0,0,0,0.428571,0.923746,0.591858,0.873491,0.028408,0.567089,0.043259,0.007651,1
