@relation train-weka.filters.unsupervised.attribute.NumericToNominal-R24-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute var_0=a numeric
@attribute var_0=b numeric
@attribute var_0=c numeric
@attribute var_0=d numeric
@attribute var_1 numeric
@attribute var_2=b numeric
@attribute var_2=c numeric
@attribute var_2=d numeric
@attribute var_2=e numeric
@attribute var_2=f numeric
@attribute var_2=g numeric
@attribute var_2=h numeric
@attribute var_2=a numeric
@attribute var_3 numeric
@attribute var_4=c numeric
@attribute var_4=d numeric
@attribute var_4=e numeric
@attribute var_4=f numeric
@attribute var_4=g numeric
@attribute var_4=h numeric
@attribute var_4=a numeric
@attribute var_4=b numeric
@attribute var_5 numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute label {0,1}

@data
0,0,1,0,0.666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.428571,0.898023,0.208744,0.471935,0.551306,1
0,0,1,0,0.666667,0,0,0,0,0,1,0,0,0.857143,0,0,0,1,0,0,0,0,0.428571,0.35039,0.193515,0.748937,0.406374,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0.974941,0.728943,0.92953,0.571161,1
0,0,1,0,0,0,0,1,0,0,0,0,0,0.857143,0,0,0,1,0,0,0,0,0.142857,0.786429,0.481676,0.227697,0.494246,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0.285714,0,0,0,0,0,0,1,0,0,0.92404,0.664946,0.862806,0.564256,1
0,0,0,1,0.666667,0,0,0,0,0,0,1,0,0.428571,0,0,0,0,0,1,0,0,0.714286,0.928282,0.081845,0.576541,0.438423,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0.571429,0,0,0,1,0,0,0,0,0,0.227669,0.775062,0.993579,0.386076,1
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.142857,0.723298,0.00687,0.582772,0.743437,1
0,0,1,0,0.333333,0,0,1,0,0,0,0,0,0.857143,0,0,0,0,0,0,1,0,0.285714,0.676786,0.415193,0.714824,0.244998,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0.428571,0,0,0,0,1,0,0,0,0.714286,0.330689,0.969973,0.457985,0.821965,1
0,0,1,0,0,0,0,0,0,0,0,0,1,0.285714,0,0,0,1,0,0,0,0,0.714286,0.82037,0.788535,0.305022,0.439705,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.428571,0.972468,0.959555,0.982743,0.683812,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.285714,0.527447,0.272244,0.859616,0.098372,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0.285714,0,0,1,0,0,0,0,0,0.142857,0.172383,0.150722,0.237506,0.730184,1
0,1,0,0,0,0,1,0,0,0,0,0,0,0.571429,0,0,0,0,0,1,0,0,0.285714,0.525002,0.153095,0.990351,0.939155,1
0,0,1,0,0.333333,0,0,0,0,1,0,0,0,0.142857,1,0,0,0,0,0,0,0,0.571429,0.871129,0.110592,0.595572,0.297774,1
0,0,1,0,0,0,0,0,0,0,0,1,0,0.857143,0,0,0,0,0,0,0,1,0.714286,0.025072,0.354176,0.593276,0.321512,1
0,0,1,0,0.333333,0,0,1,0,0,0,0,0,0.714286,0,0,0,1,0,0,0,0,0.857143,0.156134,0.504375,0.903838,0.8472,1
0,0,0,1,0.666667,0,0,0,0,0,0,1,0,0.428571,0,0,0,0,0,0,0,1,0.428571,0.804282,0.98463,0.236187,0.107881,1
0,1,0,0,0.333333,0,0,0,0,0,0,1,0,0.714286,0,0,0,0,1,0,0,0,0.142857,0.594177,0.759297,0.027131,0.940314,1
0,0,1,0,0.333333,0,1,0,0,0,0,0,0,0.285714,0,0,0,0,0,1,0,0,0.142857,0.349123,0.794501,0.966312,0.105268,1
0,0,0,1,0.666667,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.714286,0.40514,0.393363,0.181919,0.400936,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.571429,0.930245,0.866687,0.588986,0.106243,1
0,1,0,0,0.333333,0,0,1,0,0,0,0,0,0.428571,0,0,0,0,1,0,0,0,0.142857,0.965162,0.966018,0.73517,0.303514,1
0,0,0,1,0.666667,0,0,0,0,0,0,0,1,0.142857,0,0,0,0,0,1,0,0,0,0.719047,0.128058,0.718128,0.798911,1
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.571429,0.377483,0.857727,0.394128,0.684268,1
0,1,0,0,0,1,0,0,0,0,0,0,0,0.428571,0,0,0,0,1,0,0,0,0.428571,0.309841,0.511754,0.149285,0.065355,1
0,0,0,1,0.333333,1,0,0,0,0,0,0,0,0.142857,0,0,0,0,0,0,0,1,0.428571,0.09926,0.335492,0.962823,0.119337,1
0,0,0,1,0.333333,1,0,0,0,0,0,0,0,0.714286,0,0,0,0,0,0,1,0,0,0.260886,0.852693,0.356029,0.438116,1
0,0,0,1,1,1,0,0,0,0,0,0,0,0.571429,0,0,0,0,1,0,0,0,0.571429,0.862624,0.611367,0.091051,0.564454,1
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.571429,0.517553,0.848334,0.160482,0.734208,1
0,1,0,0,0,0,1,0,0,0,0,0,0,0.428571,0,0,0,0,0,0,1,0,0.428571,0.378282,0.850975,0.691642,0.100701,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0.142857,0,0,0,0,0,1,0,0,0.571429,0.830917,0.666711,0.878766,0.136228,1
