@relation train-weka.filters.unsupervised.attribute.NumericToNominal-R61-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute var_0 numeric
@attribute var_1 numeric
@attribute var_2 numeric
@attribute var_3 numeric
@attribute var_4 numeric
@attribute var_5 numeric
@attribute var_6 numeric
@attribute var_7 numeric
@attribute var_8 numeric
@attribute var_9 numeric
@attribute var_10 numeric
@attribute var_11 numeric
@attribute var_12 numeric
@attribute var_13 numeric
@attribute var_14 numeric
@attribute var_15 numeric
@attribute var_16 numeric
@attribute var_17 numeric
@attribute var_18 numeric
@attribute var_19 numeric
@attribute var_20 numeric
@attribute var_21 numeric
@attribute var_22 numeric
@attribute var_23 numeric
@attribute var_24 numeric
@attribute var_25 numeric
@attribute var_26 numeric
@attribute var_27 numeric
@attribute var_28 numeric
@attribute var_29 numeric
@attribute var_30 numeric
@attribute var_31 numeric
@attribute var_32 numeric
@attribute var_33 numeric
@attribute var_34 numeric
@attribute var_35 numeric
@attribute var_36 numeric
@attribute var_37 numeric
@attribute var_38 numeric
@attribute var_39 numeric
@attribute var_40 numeric
@attribute var_41 numeric
@attribute var_42 numeric
@attribute var_43 numeric
@attribute var_44 numeric
@attribute var_45 numeric
@attribute var_46 numeric
@attribute var_47 numeric
@attribute var_48 numeric
@attribute var_49 numeric
@attribute var_50 numeric
@attribute var_51 numeric
@attribute var_52 numeric
@attribute var_53 numeric
@attribute var_54 numeric
@attribute var_55 numeric
@attribute var_56 numeric
@attribute var_57 numeric
@attribute var_58 numeric
@attribute var_59 numeric
@attribute label {0,1}

@data
0.031947,0.096871,0.163601,0.091774,0.046158,0.140545,0.081134,0.237045,0.281941,0.337766,0.182324,0.100528,0.311964,0.303908,0.427726,0.253409,0.032846,0.110857,0.197665,0.207513,0.20879,0.345183,0.616827,0.798894,0.683078,0.655689,0.684526,0.851585,1,0.958701,0.928058,0.818234,0.674682,0.58018,0.426818,0.450202,0.285152,0.125195,0.140287,0.078976,0.094152,0.207326,0.352774,0.21966,0.02758,0.02921,0.064107,0.125786,0.046946,0.247273,0.198207,0.229885,0.44382,0.129032,0.077982,0.164103,0.107955,0.105991,0.53168,0.44,1
0.05052,0.076725,0.013469,0.001427,0.048948,0.092258,0.094471,0.000441,0.053747,0.075361,0.079971,0.199736,0.187382,0.257296,0.215167,0.26837,0.325562,0.254442,0.208815,0.251391,0.399241,0.429062,0.419307,0.490421,0.596867,0.622315,0.646181,0.724269,0.847164,1,0.868324,0.678914,0.612307,0.635824,0.690703,0.583468,0.496173,0.343142,0.179053,0.147277,0.215402,0.170085,0.192681,0.156016,0.162639,0.108475,0.066099,0.045523,0.042908,0.145455,0.021912,0.08046,0.16573,0.346041,0.236239,0.128205,0.244318,0.101382,0.157025,0.084444,1
0.169391,0.343763,0.161629,0.044223,0.420238,1,1,0.777949,0.515049,0.298012,0.331575,0.43772,0.774822,0.685057,0.79366,0.711378,0.327738,0.169662,0.229539,0.389876,0.50253,0.30072,0.091872,0.534167,0.609761,0.74799,0.667822,0.795698,0.799103,0.815844,0.796817,0.530009,0.098288,0.2708,0.497187,0.474496,0.109884,0.199231,0.258942,0.404793,0.297973,0.134188,0.220484,0.16671,0.129229,0.109709,0.10268,0.059299,0.057547,0.18303,0.084661,0.237069,0.191011,0.199413,0.061927,0.287179,0.085227,0.076037,0.220386,0.208889,1
0.228826,0.092156,0.083771,0.100571,0.155212,0.233342,0.198111,0.246307,0.105037,0.115401,0.163649,0.041911,0.126036,0.071878,0.114655,0.154285,0.133976,0.086234,0,0.095034,0.313343,0.586081,0.909505,0.934843,0.859015,0.864743,0.847988,0.879889,1,0.814318,0.666994,0.581356,0.550142,0.704505,0.675258,0.510282,0.2623,0.101383,0.126365,0.27549,0.18923,0.223077,0.355102,0.212703,0.081746,0.09531,0.108294,0.136568,0.010601,0.082424,0.035857,0.012931,0.075843,0.143695,0.098624,0.151282,0.397727,0.290323,0.137741,0.155556,1
0.045319,0.089584,0.074573,0.092011,0.152168,0.176693,0.102528,0.187652,0.177211,0.153296,0.063863,0.126758,0.114842,0.059812,0.042632,0.116222,0.242566,0.267221,0.334,0.459332,0.607399,0.802599,0.919148,0.867841,0.792413,0.862981,1,0.985385,0.940263,0.794486,0.709069,0.730945,0.642025,0.714573,0.722819,0.665323,0.608572,0.469585,0.32855,0.244989,0.157035,0.11685,0.099056,0.108864,0.036963,0.045666,0.037124,0.092543,0.050984,0.115152,0.046813,0.08477,0.13764,0.032258,0.011468,0.064103,0.15625,0.101382,0.063361,0.106667,1
0.049034,0.088727,0.062746,0.106277,0.149632,0.183167,0.233398,0.180154,0.10258,0.103532,0.178475,0.097011,0.008286,0.163246,0.294714,0.190311,0.094809,0.132987,0.122765,0.153574,0.189503,0.405005,0.643319,0.68579,0.750959,0.802401,0.689988,0.748868,0.735822,0.606298,0.475692,0.333638,0.512339,0.903975,0.854045,0.669153,0.338399,0.28772,0.249625,0.270261,0.275854,0.43199,0.566662,0.316929,0.107762,0.025645,0.144332,0.224019,0.18526,0.187879,0.298805,0.142241,0.300562,0.266862,0.034404,0.238462,0.269886,0.085253,0.192837,0.453333,1
0.174591,0.079726,0.078515,0.000713,0.07228,0.15781,0.31481,0.22602,0.222359,0.216931,0.100214,0.285903,0.187527,0.243065,0.291805,0.286587,0.036266,0.106597,0.262571,0.34878,0.325253,0.184083,0.386246,0.55691,0.58376,0.594999,0.637462,0.760498,1,0.832516,0.547962,0.460977,0.492702,0.429889,0.161501,0.071673,0.020118,0.158365,0.234526,0.221786,0.278981,0.340049,0.224104,0.104999,0.047626,0.127948,0.184353,0.092543,0.104997,0.385455,0.131474,0.150862,0.323034,0.117302,0.135321,0.028205,0.090909,0.004608,0.118457,0.315556,1
0.029718,0.049721,0.017411,0.011888,0.038042,0.04532,0.110308,0.114664,0.150338,0.142428,0.086957,0.086606,0.097107,0.065794,0.146053,0.153063,0.095223,0.103792,0.063223,0.067423,0.172218,0.23628,0.389425,0.607417,0.804668,0.958365,0.819309,0.56937,0.444016,0.295957,0.244713,0.114788,0.145542,0.208161,0.218574,0.165827,0.026022,0.024748,0.158064,0.254357,0.30388,0.364469,0.294194,0.190673,0.156668,0.161547,0.110105,0.09973,0.139324,0.121212,0.022908,0.08046,0.05618,0.046921,0.094037,0.082051,0.065341,0.069124,0.013774,0.128889,1
0.121842,0.129447,0.05979,0.134094,0.003297,0.181548,0.36399,0.307828,0.263206,0.344487,0.325018,0.509086,0.531182,0.247396,0.269335,0.40922,0.687908,0.556675,0.182201,0.211366,0.733664,0.706047,0.299883,0.264829,0.57939,0.548078,0.471268,0.857555,0.826835,0.355345,0.194681,0.153012,0.00315,0.14584,0.288125,0.12994,0.137109,0.174483,0.038873,0.009259,0.148002,0.186447,0.236648,0.242979,0.143304,0.090922,0.03314,0.120994,0.054518,0.173333,0.090637,0.03592,0.255618,0.384164,0.41055,0.348718,0.272727,0.198157,0.140496,0.306667,1
0.142645,0.143163,0.12385,0.04232,0.257165,0.282708,0.35232,0.210364,0.164619,0.237952,0.534854,0.568142,0.540922,0.495514,0.649814,0.805109,0.981245,1,0.937618,0.834332,0.800379,0.834604,0.598601,0.571253,0.759697,0.802181,0.537872,0.278407,0.479671,0.63256,0.574559,0.416591,0.343274,0.346476,0.138795,0.135282,0.194511,0.154206,0.06768,0.248257,0.217834,0.240904,0.091814,0.206905,0.237276,0.233132,0.331221,0.420186,0.255427,0.271515,0.094622,0.025862,0.275281,0.196481,0.151376,0.230769,0.079545,0.0553,0.033058,0.28,1
